ID	Name	Count
19070	Proto-Admiralty	6
19071	Proto-Ambon	82
19436	Proto-Aru	6
19073	Proto-Atayalic	37
19072	Proto-Austronesian	96
19187	Proto-Bungku-Tolaki	93
19384	Proto-Bunun	2
19076	Proto-Central Malayo-Polynesian	2
19074	Proto-Central-Eastern Malayo-Polynesian	10
19075	Proto-Chamic	17
19585	Proto-East Formosan	1
19449	Proto-East Gorontalic	17
19078	Proto-Gorontalic	17
19296	Proto-Lampungic	4
19137	Proto-Malayo-Javanic	2
19081	Proto-Malayo-Polynesian	386
19079	Proto-Micronesian	131
19080	Proto-Minahasan	184
19204	Proto-Moken-Moklen	1
19497	Proto-North-Central Vanuatu	14
19082	Proto-Oceanic	4
19083	Proto-Philippines	12
19084	Proto-Polynesian	7
19085	Proto-Puyuma	1
19086	Proto-Rukai	87
19586	Proto-Sama-Bajaw	3
19089	Proto-Sangiric	212
19429	Proto-Siraya	5
19577	Proto-South Aru	1
19130	Proto-South Formosan	1
19642	Proto-South Hebridean	1
19092	Proto-South Sulawesi	160
19748	Proto-Southern Vanuatu	1
19090	Proto-South-Huon-Gulf	2
19088	Proto-Sub-Ambon	5
19094	Proto-Western Malayo-Polynesian	484
19629	Proto-Western Micronesian	1
19093	Proto-Willaumez	2
19206	Quop Land Dayak	1
18898	W.Tarangan	36
1104	W.Tarangan (Ngaibor)	34
1106	Wagawaga	1
1107	Wahai	37
19766	Wahau	23
19445	Wailengi	10
19440	Waima'a	14
1109	Waiyewa	26
19762	Wakasihu	23
1110	Wala	1
1111	Wampar	19
1112	Wandamen	34
19275	Waray-Waray	228
439	Waropen	70
1114	Watubela	57
1115	Watut	27
19639	Wawonii	28
19060	Wayan	338
441	Wedau	22
19752	West Damar	28
19675	West Guadalcanal	2
1118	Wetan	179
1120	Windesi	18
19063	Wogeo	69
1122	Woi	25
443	Woleaian	179
1124	Wolio	540
19770	Woq Helaq Modang	24
1125	Wusi-Mana	2
19316	Wusi-Valui	2
445	Wuvulu	177
309	Label	74
19679	Labu	16
19514	Labuk-Kinabatangan Kadazan	10
19708	Laghu	2
19289	Laha	37
310	Lahanan	68
877	Lakalai	267
19581	Lakona	41
19031	Lamaholot	123
720	Lamaholot (dialectal)	2
19339	Lamboya	51
19610	Lamenu	1
19608	Lametin	33
721	Lamogai	4
722	Lampung	135
19704	Langalanga	1
723	Lara Land Dayak	2
724	Larevat	1
19240	Larike	37
313	Lau	522
726	Lauje	34
19263	Laura	2
19647	Lavongai	5
727	Lawangan	30
19435	Lehalurup	4
730	Leipon	77
19510	Lelak	1
19255	Lele	30
19366	Lelepa	22
19511	Lemeting	1
19305	Lenakel	10
19362	Lengo	8
18950	Lenkau	35
733	Letemboi	2
316	Leti	195
735	Levei	28
19517	Leviamp	39
19655	Lewo	3
19590	Lihir	11
319	Likum	76
739	Lindrou	71
740	Lingarak	49
19526	Lingkabau	9
18938	Li'o	77
19506	Lobu Lanas	2
19583	Lobu Tampios	1
19712	Lolak	34
19771	Long Gelat Modang	22
19584	Penan (Long Lamai)	18
745	Longgu	23
321	Loniu	174
320	Lonwolwol	61
322	Lou	164
749	Luang	40
19740	Luangiua	37
19370	Luilang	4
19728	Lukep	2
19607	Lukep (Pono)	11
19418	Lun Dayeh	359
19653	Lun Dayeh (Kemaloh)	15
19630	Lun Dayeh (Long Semado)	20
751	Lundu	5
19287	Lungga	11
19308	Lusi	44
19749	Caaàc	2
568	Canala	17
19410	Cape Cumberland	21
19270	Carolinian	18
569	Casiguran Dumagat	1155
252	Cebuano	3011
571	Cebuano (dialectal)	12
19388	Cebuano (SE Bohol)	4
