ID	Glottocode	Name	Group	ISO639P3code	ISOname	Location	Alias	Source	Abbr	Dialect_Of	Is_Proto
19579	abai1241	Abai Sembuak	PWMP					lobel2016			false
19190	inab1237	Abaknon	PWMP	abx	Inabaknon	Philippines	[aka: Inabaknon]	jacobson1999			false
429	tagb1258	Aborlan Tagbanwa	PWMP	tbw	Tagbanwa	Philippines		reid1971			false
225	achi1257	Acehnese	PWMP	ace	Aceh	Indonesia (Sumatra)	[aka: Achinese]	kreemer1931			false
464	adon1237	Adonara	PCMP	adr		Indonesia (Nusa Tenggara)		lebar1972			false
19735	adze1240	Adzera	POC				[aka: Azera]	hooley1971			false
465	cent2084	Agta (Central Cagayan)	PWMP	agt	Agta, Central Cagayan	Philippines	[aka: Central Cagayan Agta]	reid1971			false
19194	dupa1235	Agta (Dupaningan)	PWMP	duo	Agta, Dupaninan	Philippines		robinson2011		465	false
19181	dupa1235	Agta (Eastern)	PWMP	duo	Agta, Dupaninan	Philippines		nickellandnickell1987		465	false
19189	agut1237	Agutaynen	PWMP	agn		Philippines		caabayetal2014			false
466	andr1248	Ahus	POC	anx	Andra-Hus	Papua New Guinea		blust1975			false
226	akla1240	Aklanon	PWMP	akl	Inakeanon	Philippines		zorc1969			false
468	bata1292	Alas	PWMP	btz	Batak Alas-Kluet	Indonesia (Sumatra)		akbarahmaddinandmardjo1985			false
469	kapp1237	Ali	POC	ykm							false
471	alun1238	Alune	PCMP	alp		Indonesia (Maluku)	[aka: Murnaten]	niggemeyer195152			false
19529	amar1272	Amara	POC					thurston1987			false
472	amba1265	Ambai	PSHWNG	amk		Indonesia (Papua)		anceaux1961			false
473	ambe1248	Amblau	PCMP	amv	Ambelau	Indonesia (Maluku)		stresemann1927;vandermiesen1911			false
19462	ambl1237	Amblong	POC					tryon1976			false
227	amis1246	Amis	Form.	ami		Taiwan		fey1986			false
19172	cent2104	Amis (Central)	Form.	ami	Amis	Taiwan		blust2002		227	false
19260	amis1246	Amis (Kiwit)	Form.					ogawa1933;ferrell1979		227	false
19547	amis1246	Amis (Utrecht ms.)	Form.							227	false
475	pamo1252	Ampana	PWMP					adriani1928			false
19273	lauj1238	Ampibabo-Lauje	PWMP	law	Lauje	Indonesia (Sulawesi)		himmelmann2001			false
19483	anak1240	Anakalangu	PCMP				[aka: Anakalang]	foxnd			false
19696	andr1248	Andra	POC								false
19378	anei1239	Anejom	POC					lynch2001a			false
477	bata1290	Angkola-Mandailing Batak	PWMP	akb	Batak Angkola	Indonesia (Sumatra)	[aka: Batak, Angkola-Mandailing]	siregar1977;warren1959			false
478	ansu1237	Ansus	PSHWNG	and		Indonesia (Papua)		anceaux1961			false
229	anut1237	Anuta	POC	aud		Solomon Islands		feinberg1977			false
480	aore1237	Aore	POC	aor		Vanuatu		tryon1976			false
19230	apma1240	Apma	POC	app		Vanuatu		tryon1976			false
481	arak1252	Araki	POC	akr		Vanuatu		francois2002			false
18004	area1240	'Āre'āre	POC	alu	’Are’are	Solomon Islands		geerts1970			false
483	argu1237	Arguni	PSHWNG	agf		Indonesia (Papua)		gracend			false
19491	arop1244	Arop	POC				[aka: Arop-Lokep, Arop-Lukep]				false
485	aros1241	Arosi	POC	aia		Solomon Islands		fox1970			false
486	aros1241	Arosi (Eastern)	POC							485	false
487	aros1241	Arosi (Southern)	POC							485	false
488	aros1241	Arosi (Western)	POC							485	false
489	arta1239	Arta	PWMP	atz		Philippines					false
490	asss1237	As	PSHWNG	asz		Indonesia (Papua)		gracend			false
18016	asil1242	Asilulu	PCMP	asl		Indonesia (Maluku)		collinsnd			false
493	atay1247	Atayal	Form.	tay		Taiwan		egerod1980			false
494	atay1247	Atayal (Cʔuliʔ)	Form.							493	false
496	mayr1237	Atayal (Mayrinax)	Form.							493	false
19596	atay1247	Atayal (Palŋawan)	Form.							493	false
497	sqol1237	Atayal (Squliq)	Form.							493	false
498	urip1239	Atchin	POC	upv	Uripiv-Wala-Rano-Atchin	Vanuatu		tryon1976			false
231	uabm1237	Atoni	PCMP	aoz	Uab Meto	Indonesia (Nusa Tenggara)		blust1975b			false
19637	pamp1244	Atta (Pamplona)	PWMP	att	Atta, Pamplona	Philippines	[aka: Atta, Pamplona]	reid1971			false
234	wuvu1239	Aua	POC	wuv	Wuvulu-Aua	Papua New Guinea		blust1975			false
19665	katb1237	Avava	POC								false
19229	axam1237	Axamb	POC					tryon1976			false
19698	aben1249	Ayta Abellan	PWMP								false
19394	maga1263	Ayta Maganchi	PWMP				[aka: Ayta Mag-antsi]				false
18939	ngaj1237	Ba'amang	PWMP	nij	Ngaju	Indonesia (Kalimantan)		hudson1967			false
503	baba1268	Babatana	POC	baa		Solomon Islands		tryonandhackman1983			false
