ID	Glottocode	Name	Group	ISO639P3code	ISOname	Location	Alias	Source	Abbr	Dialect_Of	Is_Proto
19447	avas1237	Babatana (Avasö)	POC							503	false
506	bada1261	Bada	PWMP	bhz		Indonesia (Sulawesi)					false
19381	baet1237	Baetora	POC				[aka: Nasawa, Navenevene]	tryon1976			false
507	obom1235	Bagobo	PWMP	obo	Manobo, Obo	Philippines					false
240	indo1316	Bahasa Indonesia	PWMP	ind	Indonesian	Indonesia (Java and Bali)		poerwadarminta1976			false
19201	bala1314	Balaesang	PWMP	bls		Indonesia (Sulawesi)		himmelmann2001			false
509	bala1310	Balangaw	PWMP	blw	Balangao	Philippines	[aka: Balangao]	reid1971			false
510	bala1315	Balantak	PWMP	blz		Indonesia (Sulawesi)		vandenbergandbusenitz2012			false
511	unea1237	Bali (Uneapa)	POC	bbn	Uneapa	Papua New Guinea	[aka: Uneapa Bali]	rossndb;satond			false
235	bali1278	Balinese	PWMP	ban	Bali	Indonesia (Java and Bali)		barber1979			false
18968	high1274	Balinese (High)	PWMP							235	false
514	lowl1258	Balinese (Low)	PWMP							235	false
19193	balu1257	Baluan	POC	blq	Baluan-Pam	Papua New Guinea		blust1975			false
238	bang1368	Banggai	PWMP	bgz		Indonesia (Sulawesi)		bergh1953			false
243	banj1239	Banjarese	PWMP	bjn	Banjar	Indonesia (Kalimantan)		hapip1977			false
519	bann1247	Banoni	POC	bcm	Bannoni	Papua New Guinea					false
520	bant1286	Bantik	PWMP	bnq		Indonesia (Sulawesi)		sneddon1984			false
19554	bant1288	Bantuqanon	PWMP				[aka: Bantoqanon]	zorc1977			false
236	pamo1252	Bare'e	PWMP	pmf	Pamona	Indonesia (Sulawesi)		adriani1928			false
522	pamo1252	Bare'e (Lalau)	PWMP							236	false
18942	pamo1252	Bare'e (Luwu)	PWMP							236	false
19471	bari1286	Bariai	POC								false
19171	basa1287	Basai	Form.	byq	Basay	Taiwan	[aka: Basay, Ketagalan]	tsuchida1991			false
19681	basa1286	Basap	PWMP					smith2017a			false
525	luhu1243	Batu Merah	PCMP	lcq	Luhu	Indonesia (Maluku)		wallace1962			false
237	baur1252	Bauro	POC	bxa	Bauro 	Solomon Islands		fox1970			false
19677	bebe1252	Bebeli	POC								false
19371	buki1248	Bekatan	PWMP				[aka: Bakatan]	freemannda			false
527	bela1260	Belait	PWMP	beg		Brunei					false
524	cent2098	Berawan (Batu Belah)	PWMP	zbc	Berawan, Central	Malaysia (Sarawak)					false
758	east2486	Berawan (Long Jegan)	PWMP	zbe	Berawan	Malaysia (Sarawak)					false
19191	west2564	Berawan (Long Terawan)	PWMP	zbw	Berawan	Malaysia (Sarawak)		blust1971			false
19364	cent2098	Berawan (Long Teru)	PWMP	zbc				blust1971			false
528	biat1246	Beta	PWMP	dyk	Dayak, Land	Indonesia (Kalimantan)					false
18961	buka1257	Bidayuh (Bukar-Sadong)	PWMP	sdo	Bidayuh, Bukar-Sadong	Malaysia (Sarawak)	[aka: Bidayuh, Sadong]	nais1988			false
531	biga1238	Biga	PSHWNG	bhc		Indonesia (Papua)		gracend			false
244	biko1240	Bikol	PWMP	bik		Philippines		mintzanddelrosariobritanico1985			false
19568	biko1240	Bikol (Camarines Sur)	PWMP							244	false
19504	biko1240	Bikol (East Miraya)	PWMP							244	false
19567	biko1240	Bikol (Miraya dialects)	PWMP							244	false
19755	cent2087	Bikol (Naga)	PWMP							244	false
535	sara1326	Bilaan (Sarangani)	PWMP	bps	Blaan, Sarangani	Philippines		reid1971			false
19745	bile1245	Bileki	POC								false
19753	bili1252	Biliau	POC								false
536	bilb1241	Bilibil	POC	brz	Bilbil	Papua New Guinea					false
19741	bilu1244	Bilur	POC								false
241	bima1247	Bimanese	PCMP	bhp	Bima	Indonesia (Nusa Tenggara)		sahidu1978;ismailetal1985			false
242	bint1246	Bintulu	PWMP	bny	Bintulu 	Malaysia (Sarawak)		blust1971			false
19012	binu1244	Binukid	PWMP	bkd		Philippines		postandgardner1992			false
540	bipi1237	Bipi	POC	biq		Papua New Guinea		blust1975			false
18952	brun1245	Bisaya	PWMP	bsb	Bisaya, Brunei	Brunei	[aka: Bisaya Bukid, Bisaya Bukit]	blust1971			false
542	brun1245	Bisaya (Limbang)	PWMP	bsb	Bisaya, Brunei	Brunei		blust1971		18952	false
19540	lotu1250	Bisaya (Lotud)	PWMP					lobel2016		18952	false
19560	saba1267	Bisaya (Sabah)	PWMP							18952	false
19301	akla1240	Bisayan (Panay)	PWMP	aki	Inakeanon	Philippines	[aka: Panay Bisayan]				false
19718	koro1310	Blaan	PWMP	bpr			[aka: Bilaan]	reid1971			false
19011	koro1310	Blaan (Koronadal)	PWMP	bpr	Blaan, Koronadal	Philippines		reid1971			false
19452	blab1237	Blablanga	POC								false
19727	ghay1237	Boanaki	POC								false
544	boan1242	Boano	PWMP	bzn		Indonesia (Maluku)		himmelmann2001			false
19757	boan1242	Boano₂	PCMP					collins1983			false
19297	bobo1254	Bobot	PCMP	bty		Indonesia (Maluku)		collinsnda			false
19669	bola1250	Bola	POC								false
19358	bola1252	Bolango	PWMP					usup1981			false
548	bone1254	Bonerate	PWMP	bna		Indonesia (Sulawesi)		collinsndb			false
19013	masi1266	Bonfia	PCMP	bnf	Masiwang	Indonesia (Maluku)		collinsnda			false
19382	nama1268	Bonga	POC					tryon1976			false
550	bong1289	Bonggi	PWMP	bdg		Malaysia (Sabah)	[aka: Banggi]	lobel2016			false
552	bier1244	Bonkovia	POC	bnk	Bierebo	Vanuatu		tryon1976			false
246	bont1247	Bontok	PWMP	bnc	Bontoc, Central	Philippines		reid1976			false
19620	mapo1242	Buang	POC								false
239	bugi1244	Buginese	PWMP	bug	Bugis	Indonesia (Sulawesi)		said1977			false
19617	bugi1244	Buginese (dial.)	PWMP								false
555	bugi1244	Buginese (Soppeng)	PWMP	bug	Bugis	Indonesia (Sulawesi)	[aka: Soppeng Bugis, Bugis Soppeng]				false
248	bugh1239	Bugotu	POC	bgt	Bughotu	Solomon Islands		ivens1940			false
19756	buhi1245	Buhid	PWMP								false
557	buka1261	Bukat	PWMP	bvk		Indonesia (Kalimantan)		rousseau1971			false
249	buli1255	Buli	PSHWNG	bzq	Buli 	Indonesia (Maluku)		maan1940			false
19652	bulu1253	Bulu	POC					osmondandross1998			false
559	idaa1241	Buludupi	PWMP	dbj	Ida’an	Malaysia (Sabah)	[aka: Bulud Upi]				false
19467	bolo1268	Bulungan	PWMP	blj	Bolongan	Indonesia (Kalimantan)	[aka: Bolongan]	lobel2016			false
19465	buru1304	Bulusu	PWMP					lobel2016			false
560	tean1237	Buma	POC	tkw	Teanu	Solomon Islands	[aka: Teanu]	tryonandhackman1983			false
19501	buna1276	Bunama	POC					lithgow2007			false
19353	bung1269	Bungku	PWMP					mead1998			false
250	bunu1267	Bunun	Form.	bnn		Taiwan		jeng1971			false
19165	bunu1267	Bunun (Isbukun)	Form.							250	false
563	nort2902	Bunun (Northern)	Form.							250	false
19198	bunu1267	Bunun (Takbanuad)	Form.							250	false
18974	taki1253	Bunun (Takituduh)	Form.							250	false
19556	buol1237	Buol	PWMP								false
19475	burm1263	Burmbar	POC								false
251	buru1303	Buruese	PCMP				[aka: Buru]	devin1989			false
19016	bwai1242	Bwaidoga/Bwaidoka	POC	bwd	Bwaidoka	Papua New Guinea		jennessandballantyne1928			false
19749	caac1237	Caaàc	POC								false
568	xara1244	Canala	POC	ane	Xârâcùù	New Caledonia		grace1975			false
19410	nort3217	Cape Cumberland	POC				[aka: Tasmate, Hukua, Tasiriki, Valpei, Piamatsina]	tryon1976			false
19270	caro1242	Carolinian	POC	cal		Northern Mariana Islands		jacksonandmarck1991			false
569	casi1235	Casiguran Dumagat	PWMP	dgc	Agta, Casiguran Dumagat	Philippines		headlandandheadland1974			false
252	cebu1242	Cebuano	PWMP	ceb		Philippines		wolff1972			false
571	cebu1242	Cebuano (dialectal)	PWMP							252	false
19388	boho1237	Cebuano (SE Bohol)	PWMP							252	false
19536	cemu1238	Cèmuhî	POC								false
19700	cent2100	Central Dusun	PWMP								false
376	cent2058	Central Maewo	POC	mwo	Maewo, Central	anuatu	[aka: Peterara, Sun̄wadaga]	tryon1976			false
19391	cent2091	Central Palawan	PWMP								false
19414	tial1241	Central Santo	POC				[aka: Matae, Navut]				false
19173	cent2090	Central Tagbanwa	PWMP	tgt	Tagbanwa, Central	Philippines		scebold2003			false
572	west2650	Cham	PWMP	cja	Cham, Western	Cambodia					false
19438	east2563	Cham (Eastern)	PWMP							572	false
573	cham1312	Chamorro	PWMP	cha		Guam		toppingogoanddungca1975			false
254	chek1238	Cheke Holo	POC	mrn		Solomon Islands	[aka: Kmagha, Maringe]	whitekokhonigitaandpulomana1985			false
1086	chuu1238	Chuukese	POC	chk		Micronesia	[aka: Trukese]	goodenoughandsugita1980			false
18147	bata1294	Dairi-Pakpak Batak	PWMP	btd	Batak Dairi	Indonesia (Sumatra)		manik1977			false
578	naro1251	Dali'	PWMP								false
18954	damp1237	Dampelas	PWMP	dms		Indonesia (Sulawesi)					false
19694	dawa1242	Dawawa	POC								false
19402	dehu1237	Dehu	POC								false
580	mala1480	Delang	PWMP	xdy	Malayic Dayak	Indonesia (Kalimantan)					false
19349	dhao1237	Dhao/Ndao	PCMP				[aka: Ndao, Ndau]	foxnd			false
581	dobe1238	Dobel	PCMP	kvo		Indonesia (Maluku)		hughesnd			false
258	dobu1241	Dobuan	POC	dob	Dobu	Papua New Guinea		bromilow1904			false
583	otda1235	Dohoi	PWMP	otd	Ot Danum	Indonesia (Kalimantan)					false
584	dond1249	Dondo	PWMP	dok		Indonesia (Sulawesi)					false
585	bima1247	Donggo	PCMP								false
586	kheh1237	Drehet	POC	tlx	Khehek	Papua New Guinea	[aka: Ndrehet]				false
587	dumb1241	Dubea	POC	duf	Dumbea	New Caledonia					false
588	ramo1244	Duke of York	POC	rai	Ramoaaina	Papua New Guinea	[aka: Raluana (Duke of York), Ramoaaina]	lanyonorgill1962			false
933	umir1236	Dumagat (Polillo)	PWMP								false
19573	dump1242	Dumpas	PWMP					lobel2016			false
19443	duri1242	Duri	PWMP								false
589	dusn1237	Dusner	PSHWNG	dsn		Indonesia (Papua)		anceaux1961			false
590	dusu1271	Dusun Deyah	PWMP	dun		Indonesia (Kalimantan)	[aka: Dusun Dejah]				false
591	dusu1269	Dusun Malang	PWMP	duq		Indonesia (Kalimantan)					false
19254	dusu1267	Dusun Witu	PWMP	duw		Indonesia (Kalimantan)					false
19242	east2472	East Damar	PCMP	dmr	Damar, East	Indonesia (Maluku)	[aka: Damar]				false
19662	wall1257	East Uvean	POC								false
19205	labu1249	Eastern Kadazan	PWMP	dtb	Kadazan, Labuk-Kinabatangan	Malaysia (Sabah)					false
261	simb1256	Eddystone/Mandegusu	POC	sbb	Simbo	Solomon Islands	[aka: Eddystone]	lanyonorgill1969			false
593	band1355	Elat	PCMP	bnd	Banda	Indonesia (Maluku)					false
594	muss1246	Emira	POC	emi	Mussau-Emira	Papua New Guinea					false
595	ende1246	Ende	PCMP	end		Indonesia (Nusa Tenggara)					false
596	engg1245	Enggano	PWMP	eno		Indonesia (Sumatra)					false
263	iliu1237	Erai	PCMP	ert	Eritai	Indonesia (Papua)		josselindejong1947			false
598	eree1241	Ere	POC	twp		Papua New Guinea					false
19633	faga1239	Fagani	POC				[aka: Faghani]				false
19450	paam1238	Faulili	POC								false
19018	favo1235	Favorlang/Babuza	Form.	bzq	Babuza	Taiwan	[aka: Favorlang, Babuza]				false
266	fiji1243	Fijian	POC	fij		Fiji		capell1968			false
19689	fiji1243	Fijian (Boumaa)	POC							266	false
605	fiji1243	Fijian (dialectal)	POC							266	false
603	fiji1243	Fijian (Eastern)	POC	fij	Fijian	Fiji				266	false
19600	loma1261	Fijian (Lomaiviti)	POC							266	false
19244	namo1248	Fijian (Naitāsiri)	POC							266	false
19243	namo1248	Fijian (Namosi)	POC							266	false
19664	fiji1243	Fijian (Rakiraki)	POC							266	false
19245	sout2864	Fijian (Waidina)	POC							266	false
19405	mate1259	Filakara	POC								false
18184	ford1242	Fordata	PCMP	frd		Indonesia (Maluku)		drabbe1932			false
19344	fort1240	Fortsenal	POC								false
19281	futu1245	Futuna-Aniwa	POC	fut		Vanuatu	[aka: Aniwa]				false
607	east2447	Futunan	POC				[aka: East Futunan]				false
19767	sega1243	Gaai	PWMP					smith2019a			false
286	abad1241	Gabadi	POC	kbt	Abadi	Papua New Guinea		capell1943			false
19720	gada1258	Gad'ang	PWMP								false
268	gadd1244	Gaddang	PWMP	gad		Philippines		reid1971			false
19231	alek1238	Gah	PCMP	gah	Alekano	Papua New Guinea		wallace1962			false
19319	galo1243	Galoli	PCMP	gal		East Timor					false
845	gana1277	Gana	PWMP	gnq		Malaysia (Sabah)	[aka: Minansut]				false
609	gapa1238	Gapapaiwa	POC	pwg		Papua New Guinea					false
610	gayo1244	Gayō	PWMP	gay	Gayo	Indonesia (Sumatra)					false
269	geda1237	Gedaged	POC	gdd		Papua New Guinea		mager1952			false
612	gese1240	Geser	PCMP	ges	Geser-Gorom	Indonesia (Maluku)		wallace1962			false
19736	ghan1242	Ghanongga	POC								false
613	ghar1239	Ghari	POC	gri		Solomon Islands	[aka: Tandai]	tryonandhackman1983			false
19379	blab1237	Ghove	POC								false
614	gilb1244	Gilbertese	POC	gil	Kiribati	Kiribati	[aka: Kiribati]	sabatier1971			false
615	gane1237	Gimán	PSHWNG	gzn	Gane	Indonesia (Maluku)	[aka: Gani]	wallace1962			false
270	gitu1237	Gitua	POC	ggt		Papua New Guinea		lincoln1977			false
617	sasa1249	Gondang	PWMP								false
272	goro1259	Gorontalo	PWMP	gor		Indonesia (Sulawesi)		pateda1977			false
19663	guma1254	Gumawana	POC								false
19737	haho1237	Hahon	POC								false
19711	hako1237	Haku	POC								false
19250	hali1244	Halia	POC	hla		Papua New Guinea					false
273	hanu1241	Hanunóo	PWMP	hnn	Hanunoo	Philippines		conklin1953			false
19734	haun1237	Haununu	POC								false
620	hawa1245	Hawaiian	POC	haw		United States		pukuiandelbert1971			false
405	sabu1255	Hawu	PCMP	hvn	Sabu	Indonesia (Nusa Tenggara)	[aka: Savu, Havu]	wijngaarden1896;foxnd;walker1982			false
621	helo1243	Helong	PCMP	heg		Indonesia (Nusa Tenggara)					false
623	hili1240	Hiligaynon	PWMP	hil		Philippines		motus1971			false
624	hitu1239	Hitu	PCMP	htu		Indonesia (Maluku)					false
625	hiww1237	Hiw	POC	hiw		Vanuatu					false
626	papo1239	Hoanya	Form.	ppu	Papora-Hoanya	Taiwan					false
19321	hoav1238	Hoava	POC	hoa		Solomon Islands					false
19673	hote1245	Hote	POC								false
627	hoti1237	Hoti	PCMP	hti		Indonesia (Maluku)	[aka: Hotti]	stresemann1927			false
628	huau1237	Huaulu	PCMP	hud		Indonesia (Maluku)					false
19602	valp1237	Hukua	POC								false
19659	hula1239	Hula	POC								false
630	iaai1238	Iaai	POC	iai		New Caledonia					false
19582	whit1269	Iarkei	POC				[aka: Whitesands]				false
19182	ibal1244	Ibaloy	PWMP	ibl	Ibaloi	Philippines	[aka: Ibaloi, Inibaloi]	ballard2011			false
276	iban1264	Iban	PWMP	iba		Malaysia (Sarawak)		richards1981			false
632	iban1264	Iban (Lemanak)	PWMP	iba	Iban	Malaysia (Sarawak)				276	false
633	iban1267	Ibanag	PWMP	ibg		Philippines		mcfarland1977			false
19385	ibat1238	Ibatan	PWMP				[aka: Babuyan]	mareeandtomas2012			false
18943	idaa1241	Ida'an Begak	PWMP	dbj	Ida’an	Malaysia (Sabah)					false
635	laka1255	Idate	PCMP	lka	Lakalei	East Timor					false
19667	idun1242	Iduna	POC								false
636	mayo1262	Ifugaw	PWMP	ifu	Ifugao, Mayoyao	Philippines	[aka: Ifugao]	lambrecht1978			false
637	amga1235	Ifugaw (Amganad)	PWMP	ifa	Ifugao, Amganad	Philippines		reid1971		636	false
18225	bata1298	Ifugaw (Batad)	PWMP					newell1993		636	false
639	kele1259	Ifugaw (Bayninan)	PWMP	ify	Kallahan, Keley-i	Philippines		reid1971		636	false
19772	kele1259	Ifugaw (Keley-i)	PWMP					hohulinhohulinandmaddawat2018		636	false
279	ilok1237	Ilokano	PWMP	ilo	Ilocano	Philippines		rubino2000;carro1956			false
642	ilon1239	Ilongot	PWMP	ilk		Philippines					false
19613	ilon1239	Ilongot (Kakiduge:n)	PWMP					reid1971			false
19340	atii1237	Inati	PWMP								false
645	irar1238	Irarutu	PSHWNG	irh		Indonesia (Papua)					false
646	isin1239	Isinay	PWMP	inn	Isinai	Philippines	[aka: Isinai]				false
647	isna1241	Isneg	PWMP	isd	Isnag	Philippines		vanoverbergh1972			false
648	itaw1240	Itawis	PWMP	itv	Itawit	Philippines	[aka: Itawit]	tharpandnatividad1976			false
282	ivat1242	Itbayaten	PWMP	ivv	Ivatan	Philippines		yamada1976			false
18955	bino1237	Itneg (Binongan)	PWMP	itb	Itneg, Binongan	Philippines					false
18956	ivat1242	Ivatan	PWMP	ivv		Philippines					false
19549	ivat1242	Ivatan (Isamorong)	PWMP							18956	false
284	jara1266	Jarai	PWMP	jra		Viet Nam		lafont1968			false
285	java1254	Javanese	PWMP	jav		Indonesia (Java and Bali)		pigeaud1938;horne1974			false
19683	java1254	Javanese (Krama)	PWMP							285	false
661	jawe1237	Jawe	POC	jaz		New Caledonia					false
19505	coas1294	Kadazan (Kimanis)	PWMP								false
19561	coas1294	Kadazan (Membakut)	PWMP								false
19541	coas1294	Kadazan (Papar)	PWMP								false
287	coas1294	Kadazan Dusun	PWMP	kzj	Kadazan, Coastal	Malaysia (Sabah)	[aka: Dusun (Kadazan), Kadazan]	antonissen1958			false
665	kahu1241	Kahua	POC	agw		Solomon Islands					false
666	kaid1239	Kaidipang	PWMP	kzp		Indonesia (Sulawesi)					false
667	kair1263	Kairiru	POC	kxa		Papua New Guinea		wivell1981			false
19377	iwal1237	Kaiwa	POC								false
670	kala1388	Kalagan	PWMP	kqe		Philippines	[aka: Tagakaulu Kalagan]	reid1971			false
18285	cala1258	Kalamian Tagbanwa	PWMP	tbk	Tagbanwa, Calamian	Philippines	[aka: Tagbanwa, Northern Tagbanwa]	reid1971;ruchnd			false
672	lubu1243	Kalinga	PWMP	knb				reid1971			false
673	lubu1243	Kalinga (Guinaang)	PWMP	knb	Kalinga, Lubuagan	Philippines		reid1971		672	false
676	ahin1234	Kallahan (Kayapa)	PWMP	kak	Kallahan, Kayapa	Philippines		reid1971			false
288	kama1362	Kamarian	PCMP	kzx		Indonesia (Maluku)		ekris186465			false
678	kamb1299	Kambera	PCMP	xbr		Indonesia (Nusa Tenggara)		onvlee1984			false
679	kamb1299	Kambera (Mangili)	PCMP	xbr	Kambera	Indonesia (Nusa Tenggara)				678	false
680	kana1286	Kanakanabu	Form.	xnb		Taiwan	[aka: Kanakanavu]	tsuchida1976			false
681	kani1282	Kaniet	POC	ktk		Papua New Guinea					false
289	kank1243	Kankanaey	PWMP	kne		Philippines		vanoverbergh1933			false
19593	nort2877	Kankanaey (Northern)	PWMP					reid1971			false
290	kano1244	Kanowit	PWMP	kxn	Melanau, Kanowit-Tanjong	Malaysia (Sarawak)		ray1913			false
18937	mala1480	Kantu'	PWMP	xdy	Malayic Dayak	Indonesia (Kalimantan)					false
291	pamp1243	Kapampangan	PWMP	pam	Pampangan	Philippines		forman1971			false
292	kapi1249	Kapingamarangi	POC	kpg		Micronesia		lieberanddikepa1974			false
687	ngaj1237	Kapuas	PWMP	nij	Ngaju	Indonesia (Kalimantan)					false
19693	kara1486	Kara	POC								false
19621	east2453	Kara (East)	POC							19693	false
18314	bata1293	Karo Batak	PWMP	btx	Batak Karo	Indonesia (Sumatra)		neumann1951			false
689	bata1293	Karo Batak (Kembaren)	PWMP	btx	Batak Karo	Indonesia (Sumatra)				18314	false
19758	katb1237	Katbol	POC								false
690	ngaj1237	Katingan	PWMP	nij	Ngaju	Indonesia (Kalimantan)					false
19516	kaul1240	Kaulong	POC								false
293	kava1241	Kavalan	Form.	ckv		Taiwan		liandtsuchida2006			false
294	busa1255	Kayan	PWMP	bfg			[aka: Kayan (Baram)]	southwell1980			false
18127	busa1255	Kayan (Busang)	PWMP	bfg	Kayan, Busang	Indonesia (Kalimantan)				294	false
753	bara1370	Kayan (Long Atip)	PWMP	kys	Kayan, Baram	Malaysia (Sarawak)		blust1971		294	false
1098	bara1370	Kayan (Uma Bawang)	PWMP					blust1971		294	false
438	reja1241	Kayan (Uma Juman)	PWMP	ree	Kayan, Rejang	Malaysia (Sarawak)		esser1964;blust1971		294	false
693	kaye1241	Kayeli	PCMP	kzl		Indonesia (Maluku)		capell1943			false
694	kayu1243	Kayupulau	POC	kzu		Indonesia (Papua)					false
19645	keap1239	Keapara	POC			Papua New Guinea	[aka: Aroma]				false
695	keda1252	Kédang	PCMP	ksx	Kedang	Indonesia (Nusa Tenggara)					false
298	keii1239	Kei	PCMP	kei		Indonesia (Maluku)		geurtjens1921			false
19372	kaja1250	Kejaman	PWMP				[aka: Kajaman]	smith2017a			false
299	kela1258	Kelabit	PWMP	kzi		Malaysia (Sarawak)	[aka: Bario Kelabit, Kelabit (Bario)]	blust1971			false
762	kela1258	Kelabit (Long Napir)	PWMP	kzi	Kelabit	Indonesia (Kalimantan)		blust1971		299	false
19768	kela1259	Kelai	PWMP					smith2019a			false
19257	kele1258	Kele	POC	sbc		Papua New Guinea					false
675	kele1259	Keley-i	PWMP	ify	Kallahan, Keley-i	Philippines	[aka: Keleyqiq Kallahan, Kallahan (Keleyqiq)]	reid1971;hohulinhohulinandmaddawat2018			false
699	kema1243	Kemak	PCMP	kem		East Timor					false
700	kemb1249	Kembayan	PWMP	xem		Indonesia (Kalimantan)					false
300	sebo1238	Kenyah	PWMP	sib				galvin1967			false
19208	waha1238	Kenyah (Lebu’ Kulit)	PWMP					soriente2006		300	false
19509	main1275	Kenyah (Lepu Anan)	PWMP					blust1971		300	false
19207	main1275	Kenyah (Lepu Tau)	PWMP	mqd	Madang	Malaysia (Sarawak)		galvin1967		300	false
317	main1275	Kenyah (Long Anap)	PWMP					blust1971		300	false
754	sebo1238	Kenyah (Long Atun)	PWMP	sib	Sebop	Malaysia (Sarawak)		blust1971		300	false
755	long1406	Kenyah (Long Dunin)	PWMP					blust1971		300	false
19324	long1400	Kenyah (Long Ikang)	PWMP					blust1971		300	false
19228	main1275	Kenyah (Long Jeeh)	PWMP					blust1971		300	false
763	main1275	Kenyah (Long Nawang)	PWMP							300	false
19276	long1406	Kenyah (Long San)	PWMP					blust1971		300	false
765	long1406	Kenyah (Long Selaaʻn)	PWMP					blust1971		300	false
19298	long1406	Kenyah (Long Wat)	PWMP	ttw		Malaysia (Sarawak)		blust1971		300	false
19195	umal1238	Kenyah (Òma Lóngh)	PWMP					soriente2006		300	false
19178	keoo1238	Keo	PCMP	xxk	Ke'o	Indonesia (Nusa Tenggara)					false
19472	kile1242	Kilenge	POC								false
19026	kili1267	Kilivila	POC	kij		Papua New Guinea		senft1986			false
19025	zaza1245	Kilokaka	POC								false
