grapheme,count
a,301
b,1149
c,55
C,65
d,301
e,129
g,186
h,191
i,222
j,3
k,865
l,750
m,156
n,80
N,24
ñ,26
ŋ,99
o,15
p,709
q,438
r,136
R,119
s,773
S,102
t,910
u,177
w,82
y,18
z,58
