Category,Set_ID,Etymology
noise,1852,*qabusa
noise,2397,*cawad ‘to hinder’
noise,1855,*eŋgaŋ
noise,2013,*balaŋ
noise,2178,*baya(q) ‘neglect’
noise,1860,*ancam
noise,1861,*bulus
noise,2395,*Dakep ‘to join together’
noise,1872,"*eneb 'settle, clear, of liquids'"
noise,1876,*buntu
noise,2339,*piŋgaŋ ‘loins’
noise,2354,*lawas ‘long duration’
noise,2383,*labur ‘to melt’
noise,2221,"*sebut ‘mention, refer to’"
noise,2308,*teleŋ ‘middle’
noise,2301,*tuli ‘to moor; stop by to visit’
noise,2337,"*piTut ‘to narrow, contract’"
noise,1896,*ibay
noise,2351,"*lali ‘unnoticed, not perceived’"
noise,1909,*wawaq 'opening'
noise,2309,*tataR ‘rule’
noise,2264,*kedut ‘pain’
noise,2358,*lepa ‘paste’
noise,2223,*serep ‘penetrate’
noise,2300,*tulut ‘permission’
noise,2193,"*zuluk ‘pierce, penetrate’"
noise,2220,*(s)eRa(q) ‘place of burning’
noise,2287,*tempet ‘place of residence’
noise,2192,"*zuru ‘point, tip’"
noise,2310,*taki ‘point out directions’
noise,2292,"*tiaŋ ‘pole, rod’"
noise,2391,*dahup ‘weak’
noise,2217,"*sikep ‘ready, prepared’"
noise,2355,"*le(m)bu ‘preserved, protected, hedged in’"
noise,1961,*buru
noise,2315,"*tunzaŋ ‘push, shove’"
noise,1968,*away
noise,2238,*sulaŋ ‘to reach across’
noise,1974,*biRaŋ
noise,2269,*kucup ‘relationship between the sexes’
noise,2224,"*sapin ‘replenishment, restoration’"
noise,2163,*adi(q)
noise,2311,*tanzak ‘kind of ship’s sail’
noise,2338,*pulu(rR) ‘roll into a ball’
noise,2293,*tarap ‘row’
noise,1983,*ujus
noise,2214,"*sa(rR)əp ‘refuse, garbage’"
noise,2225,*se(m)buq ‘satiated’
noise,2399,*ca(ŋ)kap ‘to scoop up’
noise,2251,"*kaDus ‘stroke, scratch’"
noise,1999,*awat
noise,2188,*set fire to
noise,2270,*kiu ‘shark’
noise,2256,*karaq ‘shell’
noise,2276,*karaq ‘shell’
noise,2364,"*linsad ‘to slip, slide’"
noise,2369,*lurus ‘slip off’
noise,2227,*siak ‘spicy tasting’
noise,2347,*la(m)bas ‘stand open’
noise,2387,"*maniŋ ‘still, yet (additive)’"
noise,2334,*panca(rR) ‘stream of water’
noise,2271,*kuju(r) ‘stretch out’
noise,2053,*utu
noise,2350,*laru ‘substance used to purify fermenting liquids’
noise,2180,*bayaŋ ‘sway’
noise,2065,*anzaŋ
noise,2313,*tes ‘to tear’
noise,2229,*simbat ‘temporary aid’
noise,2359,*lemuk ‘weak’
noise,2079,*ikut 'theft'
noise,2211,*saka ‘to till the soil’
noise,2088,*ines
noise,2230,*seru ‘trap’
noise,2116,*buTek
noise,2123,*anDa
noise,2272,*kubay ‘vegetable’
noise,2210,"*sambaq  ‘reverence, adoration’"
noise,2400,*cahiŋ ‘viscous material’
noise,2128,*bela
noise,2133,*hantaj
noise,2134,*qaŋet
noise,2318,*Teŋuk ‘to watch’
noise,2265,*kemba ‘to be weak’
noise,2352,"*lataq  ‘weakness, debility, faintness’"
noise,2213,*saksak ‘white’
noise,2154,*buri
noise,2333,*pa(n)caŋ ‘piece of wood’
noise,2155,*uDay 'worm'
noise,2157,*awas
noise,2182,*SiRab
