Category,Set_ID,Etymology
near,30668,**gagaq ‘to use force’
noise,1658,*bun
noise,1659,*bali
noise,2295,*teman ‘accustomed to’
noise,2176,*bati ‘house servants’
noise,1666,*ali
noise,2361,"*liŋa ‘hand, arm’"
noise,2332,*puhun ‘to ask permission’
noise,2216,"*si(dD)aŋ ‘steep, precipitous’"
noise,2403,*daga ‘to be related’
noise,1805,*p-al-upuq  'vegetable matter'
noise,1675,*bulus
noise,1816,*anDes
noise,2162,*betaq
noise,2054,*ampu
noise,2037,"*han-ir 'fatty, greasy'"
noise,2296,*tulup ‘blowpipe’
noise,2398,*calcal ‘to hack off’
noise,1699,*bani(r)
noise,2259,"*ketug ‘to beat, pound’"
noise,2285,"*te(m)biŋ ‘edge, bank’"
noise,2404,"*daDaŋ ‘to shine, be bright’"
noise,2218,*segseg ‘to burn’
noise,2302,*tela ‘burst open’
noise,2365,"*liŋaw ‘still, calm’"
noise,2290,"*taduq ‘calm, of the wind’"
noise,1911,*ibaq
noise,2284,*te(m)bak ‘to clear forest’.
noise,2331,*pezam 'close the eyes'
noise,1932,*belas
noise,1723,*bulut
noise,1724,*ulik
noise,2253,*kaliŋ ‘connecting piece’
noise,2297,"*tuŋkəq ‘piece, connecting piece’"
noise,2261,"*kekel ‘constant, steady’"
noise,2303,*taki ‘contradict someone’
noise,2266,*kukak ‘cough’
noise,1730,*wilis
noise,2294,"*taman ‘yard, courtyard’"
noise,2278,"*tambeŋ ‘covered, veiled’"
noise,2314,"*tumbak ‘crab claw, lance’"
noise,2348,*laḍaŋ  ‘cropland’
noise,2304,*teba ‘cultivated land’
noise,2262,*keDut ‘curl’
noise,1739,*beluR
noise,2190,*zu(ŋ)kit ‘cut off’
noise,2316,*Ta(r)ik ‘round dance’
noise,2267,"*ki(n)cu ‘deceit, fraud’"
noise,2291,*tubiR ‘deep place in the water’
noise,2345,*laba(r) ‘pleasant flavor’
noise,2307,"*teges ‘to mark, designate’"
noise,1749,*walat  'destruction'
noise,1753,*buŋkar
noise,2235,"*sukar ‘dirt, filth’"
noise,2349,"*laŋes ‘dirt, filth’"
noise,2298,"*tiwas ‘disastrous, incurable’"
noise,2231,"*seba(r) ‘disseminate, strew around’"
noise,2360,*luRuq ‘to drizzle’
noise,2279,*tabuq ‘drumstick’
noise,2280,"*tibag ‘dug out, excavated’"
noise,2386,*mesaq ‘enemy’
noise,1776,*hapuq
noise,2353,"*lesaq ‘drained, exhausted’"
noise,2222,*sindak ‘experience fear’
noise,2274,*kusem ‘faded’
noise,2382,*leŋeR ‘lame’
noise,2373,"*lancuŋ ‘to falsify, forge, counterfeit’"
noise,2335,*pelik ‘to vibrate’
noise,2299,*tuluy ‘fast’
noise,1879,*upaw
noise,2236,"*sisip ‘to feign, pretend’"
noise,2312,"*tegeŋ ‘steadfast, firm’"
noise,1787,*iwak
noise,1792,*baraw
noise,2283,"*tambaŋ ‘side, opposite side, cross side’"
noise,2286,*tepas ‘pressed flat’
noise,1809,*buri
noise,2263,"*kebut ‘fold together, wrap’"
noise,2357,*leles ‘lose consciousness’
noise,1917,*apu(r)a
noise,2356,"*lawlaw ‘weak, feeble’"
noise,2336,*puhaŋ ‘empty’
noise,1818,*hegab
noise,2392,*Deŋu ‘cessation of breathing’
noise,2237,"*suRsuR ‘to slide, glide’"
noise,2219,"*sibsib ‘glide off, slide off’"
noise,2390,"*dampul ‘adhesive, glue’"
noise,1826,*baRut 'goiter'
noise,1829,*baluq
noise,2306,"*taŋtaŋ ‘to grip, grasp’"
noise,2268,"*kuRkuR ‘to rub, grate’"
noise,2346,"*labaq ‘increase, growth’"
noise,1839,*unzuk
noise,2317,*Ta(ŋ)kur ‘scrape or scratch with the hand’
noise,2384,*makas ‘hard’
noise,2215,*siraŋ ‘to form gaps’
noise,2330,*panduŋ ‘head covering; crest’
