Language	Form	Species
443	yaiuw(a)	Neomyxus chaptalii
443	yaiuw(a)	Neomyxus chaptalii
1124	asana	Santalum album
1124	balaki	Thynnus tunnina
1124	baŋko	Rhizophora conjugata
1124	bintonu	Melichia umbellata
1124	biŋkuru	Morinda citrifolia
1124	biŋkuru	Morinda
1124	bula	Phyllanthus emblica
1124	bulu-a	Nephelium lappaceum
1124	buti	Colocasia esculentum
1124	butu	Barringtonia asiatica
1124	kaladi	Colocasia antiquorum
1124	kalumpa	Sterculia foetida
1124	kamaŋi	Ocimum basilicum
1124	kanari	Canarium commune
1124	kawu-kawu	Ceiba pentandra
1124	laŋa	Sesamum orientale
1124	namu-namu	Cynometra cauliflora
1124	nua	Anoa depressicornis
1124	pada	Imperata
1124	pada	Andropogon nardus
1124	rau	Dracontomelum mangiferum
1124	rumbia	Metroxylon sagu
1124	wonti	Mugil
445	alie	Terminalia catappa
445	lalaʔo	Laportea
445	mona	Pandanus conoideus
445	pia	Alocasia
445	ponu	Chelonia mydas
445	si	Cordyline
445	si	Dracaena
445	ti	Dracaena
445	tofu	Saccharum edule
445	tofu	Saccharum edule
309	balbal	Erythrina indica
309	irimu	Octomeles sumatrana
19289	ʔaeŋ	Inocarpus
310	buvwaŋ	Ursus malayanus
877	bala	Intsia bijuga
877	la-bua	Areca catechu
877	la-hara	Lygodium circinnatum
877	la-hue	Calamus
877	la lahia	Zingiber
877	la liu	Cocos nucifera
877	la-lumu	Psilotum nudum
877	la-lumu	Microsorium
877	la mavo	Colocasia esculenta
877	la-putu	Barringtonia asiatica
877	la sabaka	Alstonia
877	la tita	Parinarium corymbosum
877	la tovu	Saccharum
877	la-tuva	Cassytha filiformis
877	la-ulu	Artocarpus incisa
877	la-ulu	Anona muricata
877	la-vasa	Vitex cofassus
877	la-viro	Phragmites
877	loago	Gmelia
877	mami	Dioscorea alata
877	vilu-vilu	Licuala
877	viro	Phragmites
877	vule	Crinum
19031	lia	Zingiber officinale
19031	taʔū	Pogostemon cablin
722	adas	Foeniculum vulgare
722	jilatoŋ	Laportea
19240	dalima-ta	Punica granatum
19240	lamuta	Cynometra ramiflora
313	ākwa	Pometia pinnata
313	bala	Evodia Elleryana
313	bala	Evodia Elleryana
313	bebe	Chaetodon
313	buli	Ovula ovulum
313	falata	Siganus
313	fata	Vitex cofassus
313	fū	Barringtonia asiatica
313	kulabo	Lethrinidae
313	oneone	Heritiera littoralis
313	rara	Erythrina fasca
313	saia	Parinarium glaberrimum
313	salu	Casuarina equisetifolia
313	salu-tolo	Casuarina nodiflora
313	ʔakʷasi	Rhus taitensis
19647	tuas	Rhus taitensis
730	ndelis	Terminalia catappa
730	ñoñ	Morinda citrifolia
730	yerit	Parinarium laurinum
18950	lalatr	Laportea
18950	lou	Plectorhinchus
316	kerna	Chelonia imbricata
316	nenu	Morinda citrifolia
316	tuwa	Derris elliptica
735	ʔih	Intsia bijuga
19590	curu(bian)	Lethrinus harak
19590	sil	Caesionidae
319	ih	Intsia bijuga
319	ketik	Parinarium laurinum
319	ketik	Parinari laurinum
319	mon	Pandanus conoideus
319	puk	Barringtonia
739	alis	Parinarium laurinum
739	bei	Falcataria Moluccana
739	loaŋ	Litsea
739	moy	Pandanus conoideus
18938	ki	Imperata cylindrica
745	suru	L. elongatus
745	ʔura	Morinda citrifolia
321	dow	Intsia bijuga
321	eit	Parinarium laurinum
321	moñ	Pandanus conoideus
321	monoy	Naso unicornis
321	mu	Siganus spinus
321	panah	Hemirhamphus commersoni Cuv.
321	pitow	Calophyllum inophyllum
321	pun	Piper betle
321	put	Barringtonia
321	saput	Lethrinus kallopterus
321	tiw	Mulloidichthys samoensis
321	tiw	Mulloidichthys samoensis
322	ka	Piper methysticum
322	keik	Syzygium gomata
322	kerit	Parinarium laurinum
322	kerit	Parinari laurinum
322	mon	Pandanus conoideus
322	puet	Dioscorea bulbifera
322	ta	Pometia pinnata
322	telis	Terminalia catappa
322	to	Intsia bijuga
19740	huia	Aplonis feadensis
19418	balud	Ducula aenea
19749	pwīrip	Trichoglossus haematodus
569	agú	Casuarina equisetifolia
569	anáw	Livistona
569	bahubu	Diplodiscus paniculatus
569	balilít	Cymatium
569	balúd	Ducula poliocephala
569	baŋus	Chanos chanos
569	békaw	Rhizophora
569	bigö	Miscanthus sinensis
569	bíha	Alocasia macrorrhiza
569	buaya	Crocodylus porosus
569	buhE	Corypha elata
569	bulan-bulan	Megalops cyprinoides
569	bulan-bulan	Polinices mamilia
569	bulínaw	Stolephorus
569	bulo	Schizostachyum
569	buŋuran	Musa sapientum
569	buŋurán	Musa sapientum
569	butite	Tetradon
569	dayáp	Citrus aurantifolia
569	dipdip	Erythrina variegata
569	díta	Tophopetalum toxicum
569	díta	Antiaris toxicaria
569	gawed	Piper betel
569	gawə́d	Piper betle
569	i-talon	Gallus gallus
569	i-talón	Gallus gallus
569	kabáse	Polynemus microstoma
569	kamánsi	Artocarpus camansi
569	kamánsi	Artocarpus camansi
569	kanós	Sepia
569	kawayan	Bambusa
569	kugun	Imperata cylindrica
569	kugun	Imperata exaltata
569	kulasisi	Loriculus philippensis
569	kundul	Benincasa hispida
569	lakatán	Musa sapientum
569	layá	Zingiber officinale
569	mata-an	Rastrelliger
569	mataan	Rastrelliger
569	naŋa	Calamus usitatus
569	pagátpat	Sonneratia acida
569	pagí	Dasyatis
569	pakó	Athyrium esculentum
569	paraŋ	Imperata cylindrica
569	pusit	Loligo
569	putat	Barringtonia racemosa
569	saləŋ	Agathis philippinensis
569	sise	Crassostrea
569	takál	Frogum unedo
569	taluŋ	Solanum melongena
569	tambə́d	Saurida
569	tiyók	Amaurornis phoenicurus
569	tube	Croton tiglium
569	túbli	Derris elliptica
569	ubí	Dioscorea alata
569	udáŋ	Macrobrachium rosenbergii
569	wakwák	Forrus macrorhychus
252	ali-mukun	Phapitreron leucotis
252	álum	Melanolepis multiglandulosa
252	amagá	Diospyros
252	anabú	Abroma augusta
252	anáhaw	Livistona rotundifolia
252	anáhaw mubuʔ	Licuala spinosa
252	aníbuŋ	Caryota
252	anílaw	Columbia
252	anílaw	Grewia
252	anúnaŋ	Cordia dichotoma
252	asuntíŋ	Cassia alata
252	atay-átay	Graptophyllum pictum
252	átis	Anona squamosa
252	átis	Annona squamosa
252	átis	Annona squamosa
252	áwaʔ	Elops hawaiensis
252	bágu	Gnetum gnemon
252	bákan	Litsea
252	bakháw	Rhizophora
252	bákuŋ	Crinum asiaticum
252	balának	Mugilidae
252	balátuŋ	Vigna sesquipedialis
252	baláw	Dipterocarpus
252	baláw	Dipterocarpus
252	baláw	Agathis philippinensis
252	balila	Chirocentrus dorab
252	baliŋbíŋ	Averrhoa carambola
252	bálud	Ducula bicolor
252	balunus	Entada phaseolides
252	banabá	Lagerstroemia speciosa
252	banág	Smilax bracteata
252	banban, b-al-anban	Donax cannaeformis
252	banban, balanbán	Hemirhamphus
252	baŋkál	Nauclea orientalis
252	baŋkilíŋ	Cicca acida
252	baŋkúru	Morinda
252	batád	Andropogon sorghum
252	bígaʔ	Araceae
252	bígaʔ	Alocasia macrorrhiza
252	binúŋa	Macaranga tanarius
252	bitáʔug	Calophyllum inophyllum
252	bitúʔun	Barringtonia asiatica
252	bugnáy	Antidesma bunius
252	búkaw	Ninox philippensis
252	buktút	Hymnis momsa
252	bulan-búlan	Megalops cyprinoides
252	bulí	Corypha elata
252	bulúŋan	Musa sapientum
252	bulúŋan	suaveolens
252	bulút	Dioscorea esculenta
252	búluʔ	Schizostachyum lumampao
252	búŋa	Areca catechu
252	búŋa di Tsína	Adonidia merrillii
252	buŋúlan ~ bulúŋan	Musa sapientum
252	buŋúlan ~ bulúŋan	suaveolens
252	butúŋ	Gigantochloa levis
252	búyuʔ	Piper betle
252	dalág	Ophiocephalus
252	dalúpaŋ	Urena lobata
252	dapdáp	Erythrina variegata
252	dáwa	Setaria italica
252	dawa-dáwa	Echinochloa crusgalli
252	dáyap	Citrus aurantifolia
252	dílaʔ-dílaʔ sa íruʔ	Elephantopus mollis
252	dílaʔ-dílaʔ sa íruʔ	spicatus
252	ditáʔ	Alstonia scholaris
252	duldúl	Ceiba pentandra
252	gábi	Colocasia esculenta
252	gurami	Osphronemus goramy
252	haluan	Ophiocephalus
252	handa-lámay	Pipturus argenteus
252	hindáŋ	Myrica javanica
252	huwág(huwág)	Flagellaria indica
252	íak-íak	Coracina striata
252	ibaʔ	Averrhoa bilimbi L.
252	ilaŋ-ílaŋ	Cananga odorata
252	ípil	Intsia bijuga
252	ipil-ípil	Leucaena glauca
252	itik	Aristolochia elegans
252	kabási	Nematalosa nasus
252	kabási	Anodontostoma chacunda
252	kabúgaw	Citrus hystrix
252	kahíl	Citrus aurantium
252	kakáw	Theobroma cacao
252	kalamánsi ~ kalamánsiʔ	Citrus microcarpa
252	kálaw	Buceros hydrocorax
252	kalumpaŋ	Sterculia foetida
252	kamagúŋ	Diospyros discolor
252	kamansi	Artocarpus camansi
252	kamansi	Artocarpus camansi
252	kamantígi	Impatiens balsamina
252	kamaŋy-an	Agathis philippinensis
252	kamuniŋ	Murraya paniculata
252	kamyá	Hedychium coronarium
252	kasíli	Anhinga melanogaster
252	kasúy	Anacardium occidentale
252	katul	Katul
252	kawáyan	Bambusa spinosa
252	kugáw, kúgaw	Chanos chanos
252	kugtúŋ	Epinephelus
252	kúgun	Imperata cylindrica
252	kúgun	Imperata exaltata
252	kúgun	Saccharum spontaneum
252	kulasísi	Loriculus philippensis
252	kumi	Remora
252	kumpáy	Panicum maximum
252	kundul	Benincasa hispida
252	lagnúb	Ficus hauili
252	lakatán	Musa sapientum
252	lakatán	lacatan
252	lambáyuŋ	Ipomoea pescaprae
252	lambáyuŋ	Ipomoea pes-caprae
252	lampuyaŋ	Zingiber officinale
252	libás	Spondias pinnata
252	luŋá	Sesamum orientale
252	luŋbúy	Syzygium cumini
252	lúpuʔ	Gymnapistes niger
252	lúpuʔ	Gymnapistes niger
252	mabulu	Diospyros discolor
252	makúpa	Syzygium samarangense
252	maluŋgáy	Moringa oleifera
252	maŋágat	Lutianus
252	máraŋ	Artocarpus odoratissima
252	matʔán	Selar crumenophthalmos
252	máya	Lonchura malacca
252	mulmul	Scarus
252	mustása	Brassica integrifolia
252	muʔuŋ	Apogonidae
252	nága	Pterocarpus indicus
252	namot-namot	Cynometra iripa
252	namut	Cynometra ramiflora
252	namut-namut	Cynometra iripa
252	náŋkaʔ	Artocarpus heterophyllus
252	nára	Pterocarpus
252	nípaʔ	Nypa fruticans
252	nítuʔ	Lygodium
252	pagátpat	Sonneratia caseolaris
252	pagátpat	acida
252	páhuʔ	Mangifera altissima
252	pakú	Athyrium esculentum
252	paliyá, palíya	Momordica charantia
252	páŋdan	Pandanus
252	páŋdan	tectorius
252	patániʔ	Phaseolus lunatus
252	patuŋ	Gigantochloa levis
252	púnay	Treron vernans
252	puyú	Anabas testudineus
252	rímas	Artocarpus communis
252	sábʔa	Musa sapientum
252	sagisí	Areca
252	sagisí	Heterospathe elata
252	salúyut	salúyut: Corchorus olitorius
252	sampagíta	Jasminum
252	sayuti ~ sayutis	Sechium edule
252	sibúkaw	Caesalpinia sappan
252	síli	Capsicum
252	siŋkamás	Pachyrrhizus erosus
252	siŋkamás	Pachyrrhizus erosus
252	súla	Ficus hauili
252	suláh-an	Naso
252	tabáyag	Lagenaria leucantha
252	tágum	Indigofera suffruticosa
252	tagutuŋ-an	Diodon
252	talinum	Talinum triangulare
252	talísay	Terminalia catappa
252	támbuʔ ~ táŋbuʔ	Phragmites vulgaris
252	taŋan-táŋan	Ricinis communis
252	taŋígi	Scomberomorus commersoni
252	taŋígi	guttatus
252	taŋlád	Andropogon citratus
252	tikúgas	Amaurornia phoenicurus
252	tinduk	Musa paradisiaca
252	tinduk	magna
252	tísaʔ	Lucuma nervosa
252	tísaʔ	Lucuma nervosa
252	tiwtiw	Orthotomus atrogularis
252	túba	Croton tiglium
252	túba-túba	Jatropha curcas
252	tubúg	Ficus
252	tugás	Vitex parviflora
252	tulíŋ-an	Rastrelliger kanagurta
252	tulíŋ-an	Katsuwonus pelamus
252	tulíŋan	Rastrelliger kanagurta
252	tulíŋan	Katsuwonus pelamis
252	úbi	Dioscorea alata
252	ulayan	Bischofia javanica
252	utík	Diodon
252	wáliŋ-wáliŋ	Vanda sanderiana
252	yáti	Tectona grandis
571	máya	Lonchura malacca
19173	kuvi	Dioscorea alata
573	aguas	Neomyxus chaptalii
573	agwa	Chanos chanos
573	agwas	Neomyxus chaptalii
573	akmaŋao	Scylla serrata
573	ates	Anona squamosa
573	atulay	Trachurops crumenophthalmus
573	ayuyu	Birgus latro L.
573	fa-faʔet	Lutjanus gibbus
573	fagoʔ	Ochrosia oppositifolia
573	faya	Thrissina baelama
573	faya	Engraulidae
573	faʔi	Oryza sativa
573	gagu	Casuarina equisetifolia
573	hagahaf	Crapsus tenuicrustatus
573	hagi	Scomberoides santi-petri
573	hagi	Carangidae
573	hagon faha	Oxymonacanthus longirostris
573	(h)asuli	Anguilla marmorata
573	hima	venus mercenaria
573	hiteŋ	Siganus punctatus
573	hiteŋ	siganidae
573	ibbaʔ	Phyllanthus acidus
573	ifet	Intsia bijuga
573	lú-luhot	Maytenus thompsonii
573	niyok	Cocos nucifera
573	nunu	Ficus prolixa
573	pagu	Hibiscus tiliaceus
573	pigaʔ	Alocasia indica
573	pugwaʔ	Areca catechu
573	pugwaʔ machena	Davallia solida
573	pulan	elopidae
573	pulan	Megalops cyprinoides
573	pu-pulu	Piper betle
573	puteŋ	Barringtonia asiatica
573	sagu	Maranta arundinacea
573	sagwaleɁ	Phragmites karka
573	sampagita	Jasminum sambac
573	sihek	Halcyon cinnamomina
573	talisay	Terminalia catappa
573	tampat	Bothus mancus
573	tampat	Bothidae
573	taŋan-taŋan	Leucaena leucocephala
573	tá-tagaʔ	Naso unicornis
573	tá-tagaʔ	Acanthuridae
573	tiʔao	Upeneus vittatus
573	tiʔao	Mullidae
573	tiʔao	Upeneus vittatus
573	tiʔao	Mullidae
573	tumates	Solanum lycopersicum
573	tupu	Saccharum officinarum
573	umaŋ	Paguridae
573	wahu	Acanthocybium solandri
573	wahu	scombridae
254	vahara	Pandanus conoideus
1086	aaw	Ficus carolinensis
1086	áni-	not
1086	sara (saraa)	Holocentrus ensifer Jordan and Evermann
1086	seniŋe-n soomá	Auricularia
1086	seniŋe-n soomá	Ganoderma tropicum
1086	tii-n	Cordyline terminalis
1086	woot	Pemphis acidula
1086	woow ~ wowu	Saccharum officinarum
1086	wúúp	Derris elliptica
1086	wúúr	Panulirus japonicus von Siebold
908	a-sio	Halcyon chloris
908	hinu(wa)	Macaranga tanarius
370	balatsuk	Megalaema oorti muchalis
370	ḍakes	CinnamomumJaponicum, Cinnamomum camphora
370	djalayap	Citrus depressa
370	itju	Eriobotrya deflexa
370	kalʸavas	Ehretia thyrsiflora
370	kalʸawas-lʸawas-en	Ehretia thyrsiflora
370	kamaya	Diospyros discolor
370	lukuts	Asplenium nidus
370	lʸa-vaŋas	Bidens pilosa
370	lʸa-vela-velaq	Cyperus cyperinus
370	maqaw	Alnus japonica
370	maru-vilʸuaq	Pawlonia fortunei
370	maru-vilʸuaq	Homalanthus
370	maru-vilʸuaq	Macaranga tanarius Linn.
370	maru-vilʸuaq	Hernandia ovigera Linn.
370	paday	Oryza sativa
370	paŋudalʸ	Pandanus odoratissimus
370	qaḍis	Circus aeruginosus spilonotus
370	qanivuŋ	Phoenix hanceana var. formosana
370	quay	Calamus margaritae
370	samaq	Lactuca indica
370	sametsi	Solanum nigrum
370	saviki	Areca catechu
370	sisilʸ	Alcippe brunnea brunnea Gould
370	sizi	Capricornis crispus swinhoei
370	taleŋ	Keteleeria davidiana
370	taleŋ	formosana
370	tjanaq	Aralia decaisneana
370	tjeves	Zelkova serrata
370	tjevus	Saccharum officinarum
370	tsaliŋa-liŋa	Coleus scutellarioides
370	tsaliŋa-liŋa	Iresine herbstii
370	tuqulʸ	Acacia confusa
370	valʸa	Smilax bracteata
370	valʸa	S. china
370	vaŋas	Melia azedarach
370	vavuy	Sus taivanus
370	venan	Cervus unicolor swinhoei
370	vilʸuaq	Oreopanax formosanus
370	vilʸuaq	Hibiscus mutabilis
370	vuaq	Dioscorea alata
370	vuaq	Dioscorea esculenta var. spinosa
370	vuŋu	Meliosma rhoifolia
370	vus	Rhus semialata
370	zepuŋ	Naja naja
18972	kamaya	Diospyros discolor
18972	sisilʸ	Alcippe brunnea brunnea Gould
371	ehir	Parinarium laurinum
372	btáʔəs	Calophyllum inophyllum L.
372	búdəʔ	Choerodon Anchorago
372	búiʔ	Cypraea mauritiana
372	buls	Platax orbicularis
372	buls	Platax orbicularis
372	chiráŋ	Cananga odorata
372	deŋəs	Bruguiera gymnorhiza
372	dəsáʔəl	Holocentrus spinifer
372	dort	Intsia bijuga
372	iás	Excoecaria agallocha L.
372	kəláu	Cordia sebestena L
372	ksaw	Epinephelus fuscoguttatus
372	kuát	Scyphiphora hydrophyllacea
372	lab	Abroma augusta L.
372	las	Pterocarpus indicus (L.)
372	lulk	Ficus microcarpa
372	lulk	latifolia
372	maml	Cheilinus undulatus
372	ŋídəʔ	Lygodium circinatum (Burm.f.)
372	ŋuis	Dendrelaphis lineolatus
372	oŋór	Pandanus aimiriikensis
372	róro	Erythrina variegata
372	saŋ	Lambis lambis
372	sis	Cordyline
372	uáuʔ	Ochrosia oppositifolia
372	Ɂuðəl	Aprion virescens
372	yáml	Limnophila aromatica (Lam.) Merr.
372	ʔáol	Chanos chanos
372	ʔədúi	Symphorus spilurus (Günther)
372	ʔum	Naso unicornis
372	ʔum	Naso unicornis
247	púnti	Musa sapientum
19486	dugian	Durio zibethinus
19486	kaladi	Colocasia esculenta
19486	tegep	Artocarpus blancoi
920	baluy	Pterospermum diversifolium
920	tawa-tawa	Dysoxylum
920	tawa-tawa	Meliaceae
920	tebel	Ficus nota
920	tebel	Moraceae
921	brut	Barringtonia asiatica
924	haliara	Merremia peltata
924	koka	Macaranga quadriglandulosa
924	ŋar	Canarium indicum
924	paka	Ficus nodosa
924	taragau	Haliaster sphenurus
924	vasara	Vitex cofassus
925	haru	Hibiscus tiliaceus
925	hatele	Euchirus longimanus L.
925	huay	Crocodilus porosus Schneid.
925	nala	Pterocarpus indica
925	nuele	Cocos nucifera
925	suɁune	Artocarpus incisa
375	baxut	Columba livia
375	benan	Cervus nippon taiouanus
375	dakes	Cinnamomum camphora
375	daxa	Liquidambar formosana
375	dukuduk	Zingiber officinale
375	mu-tuba	Derris
375	pineŋ	pin neng
375	sama	Sonchus oleraceus
375	sama binayu	Lactuca indica
375	sisil	Alcippe morrisonia
375	tana	Aralia decaisneana
375	ta-tuba	Derris
19041	alit	Parinarium laurinum
19041	ralis	Terminalia catappa
19041	row	Intsia bijuga
929	nipa	Nipa fruticans
19651	to-tol	Cordia subcordata
381	aiau	Ficus carolinensis
381	isou	Calophyllum inophyllum
381	lahd	Atule mate
381	nih	Cocos nucifera
381	nihn	Ficus tinctoria
381	oahs	Coelococcus amicarum
381	palapal	Siganus punctatus
381	pala-pal	Siganus punctatus
381	pehri	Bambusa vulgaris
381	pwahlahl	Lutjanus gibbus
381	pwuh	Areca catechu
381	pwuupw	Rhinecanthus aculeatus
381	sa-kau	Piper methysticum
381	sara	Adoryx spinifer
381	sehu	Saccharum officinarum
381	sei	Annona muricata
381	suhre	Sphyraena
385	kiye-kiy	Gygas alba
385	woot	Colocasia
19699	temah	Memecylon paniculatum
386	buƚu	Thyrsostachys siamensis
386	daHu	Sapindus mukrossi
386	dawa	Setaria italica
386	katawa-tawaʔay	Ricinus communis
386	keriw	Boehmeria frustescens
386	kuɭaT	Polyporus sulfurus
386	layaɖ	Sambucus formosana
386	maʔaw	Alnus formosana
386	puna-punay	Chalcophaps indica
386	punay	Chalcophaps indica
386	puruT	Urena lobata, var. tomentosa
386	rukuT	Asplenium nidus
386	Taŋila-ŋila-yan	Auricularia-Auricula Judae
386	tuʔur	Bischofia javanica
386	tuʔur	Acacia confusa
386	viRaw	Miscanthus
386	viRaw-Raw	Miscanthus
19212	maʔaw	Alnus formosana
18964	daHu	Sapindus mukrossi
18964	puna-punay	Chalcophaps indica
18964	puruT	Urena lobata, var. tomentosa
18964	rukuT	Asplenium nidus
630	jiji	Halcyon sanctus canacorum
630	watr	Pandanus
19182	ali	this-direction
19182	ali	future
19182	bedus	Acalypha amentacea
19182	damon-en	something
19182	Kawed	Piper betle
19182	Kolon	Imperata cylindrica
19182	taŋan	Jatropha curcas
19182	taŋpa-en	in utero
276	agar-agar	Eucheuma
276	agar-agar	Gracilaria
276	agar-agar	Sphaerococcus
276	anaw	Arena
276	api	Calophyllum obliquinervium Merr.
276	asam	Mangifera
276	aur	Gigantochloa scortechinii
276	aur	Bambusa wrayi
276	bakau	Rhizophora
276	bakoŋ	Amaryllis
276	bakoŋ	Crinum
276	bakoŋ	Crinum asiaticum
276	bakoŋ	Nymphaea
276	bakoŋ	Nelumbium
276	baŋkal	Nauclea
276	baya	Crocodilus porosus
276	baya	Crocodilus siamensis
276	bayak	Varanus
276	bayak	V. salvator
276	belah	Ixora
276	belanak	Mugil
276	belimbiŋ	Averrhoa bilimbi L.
276	belimbiŋ	Averrhoa carambola L.
276	bembai	Clinogyne dichotoma
276	bembai	Donax
276	bembai	Cyperus
276	bembai	Clinogyne dichotoma
276	bembai	Donax
276	bembai	Cyperus
276	benuaŋ, menuaŋ	Octomeles sumatrana Miq.
276	benuaŋ, menuaŋ	Anthocephalus cadamba
276	benuaŋ, menuaŋ	Octomeles sumatrana Miq.
276	beraŋan	Castanopsis
276	beruaŋ	Helarctos
276	beruru	Salomonia cantoniensis Lour.
276	beruru	Mucuna biplicata
276	betoŋ	Dendrocalamus asper
276	bilis	Stolephorus
276	bintaŋur	Calophyllum
276	binuaŋ	Anthocephalus cadamba
276	binuaŋ	Octomeles sumatrana Miq.
276	birah	Alocasia macrorrhiza
276	biruʔ	Licuala
276	biruʔ	Licuala glabra
276	buas	Vitex
276	bubur	Medusa
276	bubut	Centropus sinensis Stephens
276	buloh	Bambusa
276	buntal	Tetrodon
276	bunut	Calophyllum
276	buŋur	Lagerstroemia
276	buŋur	L. flos-reginae Retz.
276	buroŋ kuŋkoŋ	Eurylaimus ochromalus
276	damar	Dipterocarp
276	damar	Shorea
276	dəlima	Punica granatum
276	durian	Durio
276	duyoŋ	Dugong dugon
276	empelan	Mangifera indica
276	eŋkuas	Alpinia
276	eŋkuas	A. galanga
276	gamat	Cyanotis cristata Roehm. et Schultes
276	ijok	Arenga saccharifera (Wurmb.) Merr.
276	ijok	A. saccharifera Lab.
276	ipil	Adinandra
276	ipil	Gordonia havilandii Burkill
276	ipil	Intsia
276	ipil	I. bijuga (Colebr.)
276	ipoh	Antiaris toxicaria (Pers.) Lesch.
276	itit	Anas
276	jawaʔ	Pennisetum typhoideum; jawaʔ
276	jelataŋ	Laportea stimulans
276	kak	Corvus
276	kaladi	Alocasia
276	kaladi	Colocasia
276	kaladi	Dioscorea
276	kandis	Garcinia
276	kaŋkoŋ	Ipomoea
276	kaŋkoŋ	aquatica, I. reptans
276	kapok	Bombax
276	kapok	Ceiba pentandra
276	kemiri	Aleurites triloba
276	kendoŋ	Garcinia
276	kurur	Artocarpus
276	labi	Trionynx cartilagineus Boulanger
276	ləŋaʔ	Sesamum indicum
276	liaʔ	Zingiber officinale
276	lipan	Scolopendra subspinipes
276	lutoŋ	Presbytis eristata ultima
276	manok	Gallus
276	maŋga	Mangifera indica
276	medaŋ kasap	Gironniera
276	meŋkudu	Morinda citrifolia L.
276	meŋkudu	Morinda citrifolia
276	munsaŋ	Mustela nudipes
276	naŋkaʔ	Artocarpus
276	ñatoh	Palaquium, Ganua
276	niboŋ	Oncosperma
276	niboŋ	Oncosperma horridum Scheff.
276	niboŋ	Oncosperma tigillarium (filamentosum) Blume
276	nipah	Nipa fruticans
276	niur	Cocos nucifera
276	padi	Oryza
276	pait	Puntius
276	palis	Helicia
276	pandan	Pandanus
276	paŋgil	Clerodendron album Ridl.
276	pariʔ	Trygonidae
276	pariʔ	Torpedinae
276	pariʔ	Myliobatidae
276	pauh	Parkia speciosa
276	perawan	Shorea
276	perawan	Shorea
276	perepat	Sonneratia caseolaris (L.)
276	periaʔ	Momordica charantia L.
276	pipit	Lonchura fuscana
276	pipit	Lonchura fuscana
276	pisaŋ	Musa
276	pulut	Oryza glutinosa
276	punai	Treron
276	punai	Ptilinopus jambu
276	punai	Streptopelia chinensis
276	puyuɁ	Anabas testudineus
276	randau empelas	Tetracera assa
276	resam	Gleichenia
276	resam	Gleichenia
276	runut	Arenga
276	rusaʔ	Cervus unicolor Kerr.
276	sabaŋ	Cordyline
276	sabaŋ	Pleomele
276	sabaŋ	Dracaena
276	saŋaʔ	Elaeocarpus
276	seray	Cymbopogon
276	se-terap	Artocarpus
276	sukun	Artocarpus
276	tarum	Marsdenia tinctoria
276	tarum	Indigofera tinctoria
276	tebu	Saccharum officinarum
276	temadau	Bos javanicus d'Atton
276	temadau	Bos sondaicus
276	teŋar	Ceriops
276	teŋar	C. tagal
276	təŋgiliŋ	Manis javanica
