Language	Form	Species
19071	*nara	Pterocarpus indica
19071	*nunuʔ	Ficus benjamina L
19071	*sukun	Artocarpus
19071	*wakat	Rhizophore
19079	*kili-fau	Hibiscus tiliaceus
19079	*palai	Dioscorea bulbifera
19079	*pili-pili	Euphorbia
19079	*pwua	Areca catechu
19080	*lansat	Lansium domesticum
19497	*bune	Ptilinopus
19089	*atis	Anona squamosa
19089	*atis	Annona squamosa
19089	*əRe	Imperata cylindrica L.
19089	*silaR	Corypha
19089	*talisay	Terminalia catappa
19130	*biLuaq	Hibiscus tiliaceus
19092	*ampiɨllas	Ficus politoria L.
19092	*sɨrre	Andropogon nardus
1107	kamoni	Murraya
1107	lamut	Cynometra ramiflora
1107	nala	Pterocarpus indica
19762	dalima	Punica granatum
1112	tawa	Pometia
19275	yakál	Hopea
439	kawano	Pometia
19060	a-vula	Megalops cyprinoides
19060	baka	Ficus obliqua
19060	baka	F. prolixa (Moraceae)
19060	cucu	Lethrinus variegatus
19060	cucu	Lethrinella
19060	cum	Balistidae
19060	cum	Aluteridae
19060	kacika	Lethrinella miniata
19060	ka-kā	Phygis solitarius
19060	karabusi	Acalypha repandra
19060	kavika	Syzygium malaccense (Myrtaceae)
19060	kawa-kawa	Serranidae
19060	kito	Siganus chrysospilos
19060	koka	Bischofia javanica
19060	koka	Euphorbiaceae
19060	kulu	Artocarpus altilis
19060	kura ni viti	Morinda citrifolia (Rubiaceae)
19060	kura ni viti	Morinda citrifolia
19060	kura ni viti	Rubiaceae
19060	kʷavu	Epinephelus hoedti
19060	kʷavu	Serranidae
19060	laŋo	Brachycera
19060	rara	Erythrina
19060	rara	Leguminosae
19060	salato	Dendrocnide Harveyi
19060	tio	Ostreidae
19060	tivi-tivi	Chaetodontidae
19060	tubā	Cardisoma carnifex
19060	tubā	C. rotundum
19060	tubā	Portunidae
19060	tuna	Anguilliformes
19060	tuna	Muraena
19060	tuva	Derris
19060	tuva	Leguminoseae
19060	tuva-ni	Derris
19060	tū-vonu	Caretta caretta
19060	veliawa	Merremia peltata
19060	vesi (wai)	Pongamia pinnata
19060	vilu	Carangoides
19060	voivoi	Pandanus tectoriu
19060	voivoi	P. dubius
19060	voivoi	P. whitmeeanus
19060	vudi	Musa cultivar
19060	vula	Holothuria
1118	awna	Gerres
1118	neni	Morinda citrifolia
1118	suli	Colocasia esculenta
1118	witiora woiti	Ursa minor
1120	wanunu	nin
1120	yaru	Casuarina equisetifolia
1120	yaru	Casuarina equisetifolia
19063	kətita	Parinari laurinum
19063	kura	Epinephelus
19063	ñoñ	Morinda citrifolia
19063	selite	Terminalia catappa
