ID,Cognateset_ID,Form_ID,Subset,Proto_Language,Comment,Inferred,Doublet_Comment,Disjunct_Comment,Doublets,Disjuncts
385-POC,24947,protoform-385-POC,,POC,,true,,,,
380,24943,protoform-380,1,PMP,,false,,,,
380-PWMP,24943,protoform-380-PWMP,,PWMP,,true,,,,
380-PCEMP,24943,protoform-380-PCEMP,,PCEMP,,true,,,,
380-PCMP,24943,protoform-380-PCMP,,PCMP,,true,,,,
380-PEMP,24943,protoform-380-PEMP,,PEMP,,true,,,,
380-POC,24943,protoform-380-POC,,POC,,true,,,,
381,24944,protoform-381,1,PAN,,false,,,,
381-PMP,24944,protoform-381-PMP,,PMP,,true,,,,
381-PWMP,24944,protoform-381-PWMP,,PWMP,,true,,,,
381-PCEMP,24944,protoform-381-PCEMP,,PCEMP,,true,,,,
381-PCMP,24944,protoform-381-PCMP,,PCMP,,true,,,,
381-PEMP,24944,protoform-381-PEMP,,PEMP,,true,,,,
381-POC,24944,protoform-381-POC,,POC,,true,,,,
382,24945,protoform-382,1,PAN,,false,,*Sa₁,,5105
382-PMP,24945,protoform-382-PMP,,PMP,,true,,,,
382-PWMP,24945,protoform-382-PWMP,,PWMP,,true,,,,
382-PCEMP,24945,protoform-382-PCEMP,,PCEMP,,true,,,,
382-PEMP,24945,protoform-382-PEMP,,PEMP,,true,,,,
382-POC,24945,protoform-382-POC,,POC,,true,,,,
24,24770,protoform-24,1,PWMP,,false,,,,
10,24757,protoform-10,1,PAN,,false,,,,
10-PMP,24757,protoform-10-PMP,,PMP,,true,,,,
10-PWMP,24757,protoform-10-PWMP,,PWMP,,true,,,,
10-PCEMP,24757,protoform-10-PCEMP,,PCEMP,,true,,,,
10-PCMP,24757,protoform-10-PCMP,,PCMP,,true,,,,
9,24756,protoform-9,1,PPh,,false,*baba₁,,433,
1,24748,protoform-1,1,PPh,,false,,,,
2,24749,protoform-2,1,PPh,,false,,,,
3,24750,protoform-3,1,PPh,,false,,,,
11491,33006,protoform-11491,1,PPh,,false,,,,
11,24758,protoform-11,1,PMP,,false,*qambat,,4192,
8517,24758,protoform-8517,2,PWMP,,false,,,,
11-PWMP,24758,protoform-11-PWMP,,PWMP,,true,,,,
11-PCEMP,24758,protoform-11-PCEMP,,PCEMP,,true,,,,
11-PCMP,24758,protoform-11-PCMP,,PCMP,,true,,,,
12,24759,protoform-12,1,PWMP,,false,,,,
13,24759,protoform-13,2,PWMP,,false,,,,
14,24760,protoform-14,1,PWMP,,false,,,,
4,24751,protoform-4,1,PWMP,,false,,,,
5,24752,protoform-5,1,PPh,,false,,,,
6,24753,protoform-6,1,PCEMP,,false,,,,
6-PCMP,24753,protoform-6-PCMP,,PCMP,,true,,,,
6-PEMP,24753,protoform-6-PEMP,,PEMP,,true,,,,
6-PSHWNG,24753,protoform-6-PSHWNG,,PSHWNG,,true,,,,
12837,33992,protoform-12837,1,PPh,,false,,,,
7,24754,protoform-7,1,PMP,,false,,,,
12080,24754,protoform-12080,1,POC,,false,,,,
7-PWMP,24754,protoform-7-PWMP,,PWMP,,true,,,,
7-PCEMP,24754,protoform-7-PCEMP,,PCEMP,,true,,,,
7-PEMP,24754,protoform-7-PEMP,,PEMP,,true,,,,
8,24755,protoform-8,1,PPh,,false,,,,
410,24958,protoform-410,1,PWMP,,false,,,,
173,24828,protoform-173,1,POC,,false,,*qampi,,
16,24762,protoform-16,1,PPh,,false,,,,
15,24761,protoform-15,1,PPh,,false,,,,
12394,33651,protoform-12394,1,PPh,,false,,,,
17,24763,protoform-17,1,PWMP,,false,,,,
18,24764,protoform-18,1,PWMP,,false,,,,
19,24765,protoform-19,1,PWMP,,false,,,,
12482,33727,protoform-12482,1,PPh,,false,,,,
7983,30588,protoform-7983,1,PWMP,,false,,,,
20,24766,protoform-20,1,PMP,,false,,,,
20-PWMP,24766,protoform-20-PWMP,,PWMP,,true,,,,
20-PCEMP,24766,protoform-20-PCEMP,,PCEMP,,true,,,,
20-PCMP,24766,protoform-20-PCMP,,PCMP,,true,,,,
21,24767,protoform-21,1,PWMP,,false,,*qabug,,4106
6053,28822,protoform-6053,1,PPh,,false,,,,
22,24768,protoform-22,1,PMP,,false,*qabu₁,,,
22-PWMP,24768,protoform-22-PWMP,,PWMP,,true,,,,
22-PCEMP,24768,protoform-22-PCEMP,,PCEMP,,true,,,,
22-PCMP,24768,protoform-22-PCMP,,PCMP,,true,,,,
23,24769,protoform-23,1,PMP,,false,,,,
23-PWMP,24769,protoform-23-PWMP,,PWMP,,true,,,,
23-PCEMP,24769,protoform-23-PCEMP,,PCEMP,,true,,,,
23-PEMP,24769,protoform-23-PEMP,,PEMP,,true,,,,
23-POC,24769,protoform-23-POC,,POC,,true,,,,
12838,33993,protoform-12838,1,PWMP,,false,,,,
12093,33406,protoform-12093,1,PPh,,false,,,,
69,24774,protoform-69,1,PWMP,,false,,,,
25,24771,protoform-25,1,PAN,,false,,,,
12081,24771,protoform-12081,1,PMP,,false,,,,
12081-PWMP,24771,protoform-12081-PWMP,,PWMP,,true,,,,
26,24772,protoform-26,1,PAN,,false,,,,
27,24772,protoform-27,1,PMP,,false,,,,
28,24772,protoform-28,2,PAN,,false,,,,
29,24772,protoform-29,2,PMP,,false,,,,
30,24772,protoform-30,3,PWMP,,false,,,,
31,24772,protoform-31,4,PWMP,,false,,,,
32,24772,protoform-32,5,POC,,false,,,,
27-PWMP,24772,protoform-27-PWMP,,PWMP,,true,,,,
27-PCEMP,24772,protoform-27-PCEMP,,PCEMP,,true,,,,
27-PCMP,24772,protoform-27-PCMP,,PCMP,,true,,,,
27-PEMP,24772,protoform-27-PEMP,,PEMP,,true,,,,
27-POC,24772,protoform-27-POC,,POC,,true,,,,
29-PWMP,24772,protoform-29-PWMP,,PWMP,,true,,,,
33,24773,protoform-33,1,PAN,,false,,,,
34,24773,protoform-34,1,PMP,,false,,,,
35,24773,protoform-35,2,PAN,,false,,,,
36,24773,protoform-36,3,PAN,,false,,,,
37,24773,protoform-37,4,PAN,,false,,,,
38,24773,protoform-38,4,PMP,,false,,,,
39,24773,protoform-39,4,PCEMP,,false,,,,
40,24773,protoform-40,4,POC,,false,,,,
41,24773,protoform-41,5,POC,,false,,,,
42,24773,protoform-42,6,PMP,,false,,,,
43,24773,protoform-43,7,POC,,false,,,,
44,24773,protoform-44,8,POC,,false,,,,
45,24773,protoform-45,9,POC,,false,,,,
46,24773,protoform-46,10,PMP,,false,,,,
47,24773,protoform-47,10,POC,,false,,,,
48,24773,protoform-48,11,POC,,false,,,,
49,24773,protoform-49,12,PWMP,,false,,,,
50,24773,protoform-50,13,PWMP,,false,,,,
51,24773,protoform-51,14,PWMP,,false,,,,
52,24773,protoform-52,15,PWMP,,false,,,,
53,24773,protoform-53,16,PWMP,,false,,,,
54,24773,protoform-54,17,PWMP,,false,,,,
55,24773,protoform-55,18,PAN,,false,,,,
7159,24773,protoform-7159,18,PMP,,false,,,,
6436,24773,protoform-6436,19,PWMP,,false,,,,
56,24773,protoform-56,20,PWMP,,false,,,,
57,24773,protoform-57,21,PWMP,,false,,,,
58,24773,protoform-58,22,PWMP,,false,,,,
59,24773,protoform-59,23,PAN,,false,,,,
60,24773,protoform-60,24,PAN,,false,,,,
61,24773,protoform-61,24,PMP,,false,,,,
62,24773,protoform-62,25,PWMP,,false,,,,
63,24773,protoform-63,26,PMP,,false,,,,
64,24773,protoform-64,27,PAN,,false,,,,
65,24773,protoform-65,28,POC,,false,,,,
66,24773,protoform-66,29,PMP,,false,,,,
67,24773,protoform-67,30,POC,,false,,,,
68,24773,protoform-68,31,PMP,,false,,,,
34-PWMP,24773,protoform-34-PWMP,,PWMP,,true,,,,
34-PCEMP,24773,protoform-34-PCEMP,,PCEMP,,true,,,,
34-PEMP,24773,protoform-34-PEMP,,PEMP,,true,,,,
34-POC,24773,protoform-34-POC,,POC,,true,,,,
35-PMP,24773,protoform-35-PMP,,PMP,,true,,,,
35-PWMP,24773,protoform-35-PWMP,,PWMP,,true,,,,
35-PCEMP,24773,protoform-35-PCEMP,,PCEMP,,true,,,,
35-PCMP,24773,protoform-35-PCMP,,PCMP,,true,,,,
36-PMP,24773,protoform-36-PMP,,PMP,,true,,,,
36-PWMP,24773,protoform-36-PWMP,,PWMP,,true,,,,
38-PWMP,24773,protoform-38-PWMP,,PWMP,,true,,,,
39-PCMP,24773,protoform-39-PCMP,,PCMP,,true,,,,
39-PEMP,24773,protoform-39-PEMP,,PEMP,,true,,,,
39-PSHWNG,24773,protoform-39-PSHWNG,,PSHWNG,,true,,,,
42-PWMP,24773,protoform-42-PWMP,,PWMP,,true,,,,
46-PWMP,24773,protoform-46-PWMP,,PWMP,,true,,,,
46-PCEMP,24773,protoform-46-PCEMP,,PCEMP,,true,,,,
46-PCMP,24773,protoform-46-PCMP,,PCMP,,true,,,,
46-PEMP,24773,protoform-46-PEMP,,PEMP,,true,,,,
46-PSHWNG,24773,protoform-46-PSHWNG,,PSHWNG,,true,,,,
7159-PWMP,24773,protoform-7159-PWMP,,PWMP,,true,,,,
59-PMP,24773,protoform-59-PMP,,PMP,,true,,,,
59-PWMP,24773,protoform-59-PWMP,,PWMP,,true,,,,
61-PWMP,24773,protoform-61-PWMP,,PWMP,,true,,,,
63-PWMP,24773,protoform-63-PWMP,,PWMP,,true,,,,
63-PCEMP,24773,protoform-63-PCEMP,,PCEMP,,true,,,,
63-PCMP,24773,protoform-63-PCMP,,PCMP,,true,,,,
64-PMP,24773,protoform-64-PMP,,PMP,,true,,,,
64-PWMP,24773,protoform-64-PWMP,,PWMP,,true,,,,
66-PWMP,24773,protoform-66-PWMP,,PWMP,,true,,,,
66-PCEMP,24773,protoform-66-PCEMP,,PCEMP,,true,,,,
66-PCMP,24773,protoform-66-PCMP,,PCMP,,true,,,,
68-PWMP,24773,protoform-68-PWMP,,PWMP,,true,,,,
68-PCEMP,24773,protoform-68-PCEMP,,PCEMP,,true,,,,
68-PCMP,24773,protoform-68-PCMP,,PCMP,,true,,,,
68-PEMP,24773,protoform-68-PEMP,,PEMP,,true,,,,
68-PSHWNG,24773,protoform-68-PSHWNG,,PSHWNG,,true,,,,
68-POC,24773,protoform-68-POC,,POC,,true,,,,
70,24775,protoform-70,1,PWMP,,false,*anaduq,,182,
71,24776,protoform-71,1,PMP,,false,,,,
71-PWMP,24776,protoform-71-PWMP,,PWMP,,true,,,,
71-PCEMP,24776,protoform-71-PCEMP,,PCEMP,,true,,,,
71-PCMP,24776,protoform-71-PCMP,,PCMP,,true,,,,
8183,30665,protoform-8183,1,PMP,,false,*daŋi,,6799,
8183-PWMP,30665,protoform-8183-PWMP,,PWMP,,true,,,,
8183-PCEMP,30665,protoform-8183-PCEMP,,PCEMP,,true,,,,
8183-PCMP,30665,protoform-8183-PCMP,,PCMP,,true,,,,
6632,29951,protoform-6632,1,PAN,,false,,,,
6633,29951,protoform-6633,2,PAN,,false,,,,
11098,32690,protoform-11098,1,PPh,,false,,,,
11099,32690,protoform-11099,2,PPh,,false,,,,
11100,32690,protoform-11100,3,PPh,,false,,,,
7326,30342,protoform-7326,1,PAN,,false,,*hadiq,,2549
7326-PMP,30342,protoform-7326-PMP,,PMP,,true,,,,
7326-PWMP,30342,protoform-7326-PWMP,,PWMP,,true,,,,
75,24779,protoform-75,1,PWMP,,false,,,,
76,24779,protoform-76,2,PWMP,,false,,,,
73,24778,protoform-73,1,PMP,,false,,,,
74,24778,protoform-74,2,PWMP,,false,,,,
73-PWMP,24778,protoform-73-PWMP,,PWMP,,true,,,,
73-PCEMP,24778,protoform-73-PCEMP,,PCEMP,,true,,,,
73-PCMP,24778,protoform-73-PCMP,,PCMP,,true,,,,
6855,30122,protoform-6855,1,PWMP,,false,,,,
12239,33511,protoform-12239,1,PPh,,false,,,,
12240,33512,protoform-12240,1,PWMP,,false,,,,
12241,33512,protoform-12241,2,PWMP,,false,,,,
77,24780,protoform-77,1,PWMP,,false,,,,
11324,32866,protoform-11324,1,PWMP,,false,,,,
7997,30596,protoform-7997,1,PWMP,,false,,,,
78,24781,protoform-78,1,PWMP,,false,,,,
79,24782,protoform-79,1,PWMP,,false,,,,
6739,30040,protoform-6739,1,PWMP,,false,,,,
12201,33480,protoform-12201,1,PPh,,false,,,,
80,24783,protoform-80,1,PMP,,false,,,,
80-PWMP,24783,protoform-80-PWMP,,PWMP,,true,,,,
80-PCEMP,24783,protoform-80-PCEMP,,PCEMP,,true,,,,
80-PCMP,24783,protoform-80-PCMP,,PCMP,,true,,,,
12094,33407,protoform-12094,1,PPh,,false,,,,
12095,33407,protoform-12095,2,PPh,,false,,,,
12455,33704,protoform-12455,1,PPh,,false,,,,
82,24785,protoform-82,1,POC,,false,,,,
83,24786,protoform-83,1,PAN,,false,,,,
83-PMP,24786,protoform-83-PMP,,PMP,,true,,,,
83-PWMP,24786,protoform-83-PWMP,,PWMP,,true,,,,
83-PCEMP,24786,protoform-83-PCEMP,,PCEMP,,true,,,,
83-PCMP,24786,protoform-83-PCMP,,PCMP,,true,,,,
83-PEMP,24786,protoform-83-PEMP,,PEMP,,true,,,,
83-POC,24786,protoform-83-POC,,POC,,true,,,,
7828,30543,protoform-7828,1,PAN,,false,"*ari, *aRi",,7831 297,
7829,30543,protoform-7829,2,PAN,,false,"*um-ari,  '(ari', *um-aRi  'aRi)'",,7832 299,
7830,30543,protoform-7830,2,POC,,false,,,,
7828-PMP,30543,protoform-7828-PMP,,PMP,,true,,,,
7828-PWMP,30543,protoform-7828-PWMP,,PWMP,,true,,,,
7829-PMP,30543,protoform-7829-PMP,,PMP,,true,,,,
7829-PWMP,30543,protoform-7829-PWMP,,PWMP,,true,,,,
7829-PCEMP,30543,protoform-7829-PCEMP,,PCEMP,,true,,,,
7829-PCMP,30543,protoform-7829-PCMP,,PCMP,,true,,,,
7829-PEMP,30543,protoform-7829-PEMP,,PEMP,,true,,,,
7829-PSHWNG,30543,protoform-7829-PSHWNG,,PSHWNG,,true,,,,
84,24787,protoform-84,1,PMP,,false,"*najan, *ŋajan",,7493,
12087,24787,protoform-12087,1,POC,,false,,,,
85,24787,protoform-85,2,PMP,,false,,,,
84-PWMP,24787,protoform-84-PWMP,,PWMP,,true,,,,
84-PCEMP,24787,protoform-84-PCEMP,,PCEMP,,true,,,,
84-PEMP,24787,protoform-84-PEMP,,PEMP,,true,,,,
85-PWMP,24787,protoform-85-PWMP,,PWMP,,true,,,,
85-PCEMP,24787,protoform-85-PCEMP,,PCEMP,,true,,,,
85-PEMP,24787,protoform-85-PEMP,,PEMP,,true,,,,
85-POC,24787,protoform-85-POC,,POC,,true,,,,
6619,29939,protoform-6619,1,PAN,,false,,,,
86,24788,protoform-86,1,PWMP,,false,,,,
9739,31600,protoform-9739,1,PWMP,,false,*kaka₂,,9742,
9740,31600,protoform-9740,2,PWMP,,false,,,,
9741,31600,protoform-9741,3,PWMP,,false,,,,
87,24789,protoform-87,1,PMP,,false,,,,
87-PWMP,24789,protoform-87-PWMP,,PWMP,,true,,,,
87-PCEMP,24789,protoform-87-PCEMP,,PCEMP,,true,,,,
87-PCMP,24789,protoform-87-PCMP,,PCMP,,true,,,,
9077,31103,protoform-9077,1,PWMP,,false,,*sakaŋ,,9057
88,24790,protoform-88,1,PMP,,false,,*wakaR,,5931
88-PWMP,24790,protoform-88-PWMP,,PWMP,,true,,,,
88-PCEMP,24790,protoform-88-PCEMP,,PCEMP,,true,,,,
88-PCMP,24790,protoform-88-PCMP,,PCMP,,true,,,,
88-PEMP,24790,protoform-88-PEMP,,PEMP,,true,,,,
88-POC,24790,protoform-88-POC,,POC,,true,,,,
6725,30029,protoform-6725,1,POC,,false,,,,
7960,30577,protoform-7960,1,PAN,,false,,,,
7960-PMP,30577,protoform-7960-PMP,,PMP,,true,,,,
7960-PWMP,30577,protoform-7960-PWMP,,PWMP,,true,,,,
12808,33968,protoform-12808,1,PWMP,,false,,,,
89,24791,protoform-89,1,PMP,,false,,,,
89-PWMP,24791,protoform-89-PWMP,,PWMP,,true,,,,
89-PCEMP,24791,protoform-89-PCEMP,,PCEMP,,true,,,,
89-PCMP,24791,protoform-89-PCMP,,PCMP,,true,,,,
6552,29889,protoform-6552,1,PAN,,false,*baki,,,
6552-PMP,29889,protoform-6552-PMP,,PMP,,true,,,,
6552-PWMP,29889,protoform-6552-PWMP,,PWMP,,true,,,,
417,24965,protoform-417,1,PMP,,false,,,,
418,24965,protoform-418,2,PMP,,false,,,,
417-PWMP,24965,protoform-417-PWMP,,PWMP,,true,,,,
417-PCEMP,24965,protoform-417-PCEMP,,PCEMP,,true,,,,
417-PCMP,24965,protoform-417-PCMP,,PCMP,,true,,,,
418-PWMP,24965,protoform-418-PWMP,,PWMP,,true,,,,
418-PCEMP,24965,protoform-418-PCEMP,,PCEMP,,true,,,,
418-PCMP,24965,protoform-418-PCMP,,PCMP,,true,,,,
12681,33863,protoform-12681,1,POC,,false,,,,
90,24792,protoform-90,1,PAN,,false,,,,
11661,24792,protoform-11661,2,PAN,,false,,,,
91,24792,protoform-91,3,PWMP,,false,,,,
92,24792,protoform-92,4,PAN,,false,,,,
93,24792,protoform-93,5,PWMP,,false,,,,
94,24792,protoform-94,6,PMP,,false,,,,
12088,24792,protoform-12088,6,POC,,false,,,,
95,24792,protoform-95,7,POC,,false,,,,
90-PMP,24792,protoform-90-PMP,,PMP,,true,,,,
90-PWMP,24792,protoform-90-PWMP,,PWMP,,true,,,,
90-PCEMP,24792,protoform-90-PCEMP,,PCEMP,,true,,,,
90-PCMP,24792,protoform-90-PCMP,,PCMP,,true,,,,
90-PEMP,24792,protoform-90-PEMP,,PEMP,,true,,,,
90-PSHWNG,24792,protoform-90-PSHWNG,,PSHWNG,,true,,,,
90-POC,24792,protoform-90-POC,,POC,,true,,,,
11661-PMP,24792,protoform-11661-PMP,,PMP,,true,,,,
11661-PWMP,24792,protoform-11661-PWMP,,PWMP,,true,,,,
11661-PCEMP,24792,protoform-11661-PCEMP,,PCEMP,,true,,,,
11661-PCMP,24792,protoform-11661-PCMP,,PCMP,,true,,,,
11661-PEMP,24792,protoform-11661-PEMP,,PEMP,,true,,,,
11661-PSHWNG,24792,protoform-11661-PSHWNG,,PSHWNG,,true,,,,
11661-POC,24792,protoform-11661-POC,,POC,,true,,,,
92-PMP,24792,protoform-92-PMP,,PMP,,true,,,,
92-PWMP,24792,protoform-92-PWMP,,PWMP,,true,,,,
94-PWMP,24792,protoform-94-PWMP,,PWMP,,true,,,,
94-PCEMP,24792,protoform-94-PCEMP,,PCEMP,,true,,,,
94-PCMP,24792,protoform-94-PCMP,,PCMP,,true,,,,
94-PEMP,24792,protoform-94-PEMP,,PEMP,,true,,,,
118,24796,protoform-118,1,PAN,,false,,*alaq₁,,108
7786,24796,protoform-7786,2,PAN,,false,,,,
7787,24796,protoform-7787,3,PAN,,false,,,,
7768,24796,protoform-7768,4,PAN,,false,,,,
118-PMP,24796,protoform-118-PMP,,PMP,,true,,,,
118-PWMP,24796,protoform-118-PWMP,,PWMP,,true,,,,
118-PCEMP,24796,protoform-118-PCEMP,,PCEMP,,true,,,,
118-PCMP,24796,protoform-118-PCMP,,PCMP,,true,,,,
118-PEMP,24796,protoform-118-PEMP,,PEMP,,true,,,,
118-POC,24796,protoform-118-POC,,POC,,true,,,,
7786-PMP,24796,protoform-7786-PMP,,PMP,,true,,,,
7786-PWMP,24796,protoform-7786-PWMP,,PWMP,,true,,,,
7787-PMP,24796,protoform-7787-PMP,,PMP,,true,,,,
7787-PWMP,24796,protoform-7787-PWMP,,PWMP,,true,,,,
7768-PMP,24796,protoform-7768-PMP,,PMP,,true,,,,
7768-PWMP,24796,protoform-7768-PWMP,,PWMP,,true,,,,
12096,33408,protoform-12096,1,PPh,,false,,,,
319,24889,protoform-319,1,PPh,,false,,*asu₃,,
11496,33010,protoform-11496,1,PWMP,,false,,,,
10359,32112,protoform-10359,1,PMP,,false,,,,
10359-PWMP,32112,protoform-10359-PWMP,,PWMP,,true,,,,
10359-PCEMP,32112,protoform-10359-PCEMP,,PCEMP,,true,,,,
10359-PCMP,32112,protoform-10359-PCMP,,PCMP,,true,,,,
10359-PEMP,32112,protoform-10359-PEMP,,PEMP,,true,,,,
10359-POC,32112,protoform-10359-POC,,POC,,true,,,,
12479,33726,protoform-12479,1,PPh,,false,,,,
12480,33726,protoform-12480,2,PPh,,false,,,,
12481,33726,protoform-12481,3,PPh,,false,,,,
8700,30875,protoform-8700,1,PWMP,,false,,,,
96,24793,protoform-96,1,PAN,,false,"*ala, *alaq",,118,
97,24793,protoform-97,2,PWMP,,false,,,,
98,24793,protoform-98,3,PWMP,,false,,,,
99,24793,protoform-99,4,PAN,,false,,,,
100,24793,protoform-100,5,PPh,,false,,,,
101,24793,protoform-101,6,PWMP,,false,,,,
102,24793,protoform-102,7,PWMP,,false,,,,
103,24793,protoform-103,8,PWMP,,false,,,,
104,24793,protoform-104,9,PAN,,false,,,,
105,24793,protoform-105,10,PWMP,,false,,,,
106,24793,protoform-106,11,PWMP,,false,,,,
107,24793,protoform-107,12,PWMP,,false,,,,
96-PMP,24793,protoform-96-PMP,,PMP,,true,,,,
96-PWMP,24793,protoform-96-PWMP,,PWMP,,true,,,,
96-PCEMP,24793,protoform-96-PCEMP,,PCEMP,,true,,,,
96-PEMP,24793,protoform-96-PEMP,,PEMP,,true,,,,
96-POC,24793,protoform-96-POC,,POC,,true,,,,
99-PMP,24793,protoform-99-PMP,,PMP,,true,,,,
99-PWMP,24793,protoform-99-PWMP,,PWMP,,true,,,,
104-PMP,24793,protoform-104-PMP,,PMP,,true,,,,
104-PWMP,24793,protoform-104-PWMP,,PWMP,,true,,,,
108,24794,protoform-108,1,PAN,,false,"*ala, *alap",,118 96,
110,24794,protoform-110,2,PWMP,,false,,,,
111,24794,protoform-111,3,PWMP,,false,,,,
112,24794,protoform-112,4,PWMP,,false,,,,
113,24794,protoform-113,5,PAN,,false,,,,
114,24794,protoform-114,6,PAN,,false,,,,
108-PMP,24794,protoform-108-PMP,,PMP,,true,,,,
108-PWMP,24794,protoform-108-PWMP,,PWMP,,true,,,,
108-PCEMP,24794,protoform-108-PCEMP,,PCEMP,,true,,,,
108-PCMP,24794,protoform-108-PCMP,,PCMP,,true,,,,
108-PEMP,24794,protoform-108-PEMP,,PEMP,,true,,,,
108-PSHWNG,24794,protoform-108-PSHWNG,,PSHWNG,,true,,,,
108-POC,24794,protoform-108-POC,,POC,,true,,,,
113-PMP,24794,protoform-113-PMP,,PMP,,true,,,,
113-PWMP,24794,protoform-113-PWMP,,PWMP,,true,,,,
114-PMP,24794,protoform-114-PMP,,PMP,,true,,,,
114-PWMP,24794,protoform-114-PWMP,,PWMP,,true,,,,
115,24795,protoform-115,1,PWMP,,false,,,,
116,24795,protoform-116,2,PWMP,,false,,,,
117,24795,protoform-117,3,PWMP,,false,,,,
119,24797,protoform-119,1,PWMP,,false,,,,
6836,30107,protoform-6836,1,PWMP,,false,,,,
11080,32679,protoform-11080,1,PPh,,false,,,,
11511,33022,protoform-11511,1,PMP,,false,,,,
11511-PWMP,33022,protoform-11511-PWMP,,PWMP,,true,,,,
11511-PCEMP,33022,protoform-11511-PCEMP,,PCEMP,,true,,,,
11511-PCMP,33022,protoform-11511-PCMP,,PCMP,,true,,,,
11787,33264,protoform-11787,1,PAN,,false,,,,
11787-PMP,33264,protoform-11787-PMP,,PMP,,true,,,,
11787-PWMP,33264,protoform-11787-PWMP,,PWMP,,true,,,,
11683,33173,protoform-11683,1,PPh,,false,,,,
7144,30262,protoform-7144,1,PAN,,false,,,,
122,24799,protoform-122,1,PPh,,false,"*qaninu, etc.",,4234,
123,24800,protoform-123,1,PMP,,false,,,,
123-PWMP,24800,protoform-123-PWMP,,PWMP,,true,,,,
123-PCEMP,24800,protoform-123-PCEMP,,PCEMP,,true,,,,
123-PEMP,24800,protoform-123-PEMP,,PEMP,,true,,,,
123-POC,24800,protoform-123-POC,,POC,,true,,,,
124,24801,protoform-124,1,PWMP,,false,*aluten,,7793,
12781,33943,protoform-12781,1,PAN,,false,,,,
125,24802,protoform-125,1,PWMP,,false,,,,
8702,30877,protoform-8702,1,PWMP,,false,,,,
126,24803,protoform-126,1,PAN,,false,,,,
12089,24803,protoform-12089,1,POC,,false,,,,
127,24803,protoform-127,2,PAN,,false,,,,
9621,24803,protoform-9621,2,POC,,false,,,,
126-PMP,24803,protoform-126-PMP,,PMP,,true,,,,
126-PWMP,24803,protoform-126-PWMP,,PWMP,,true,,,,
126-PCEMP,24803,protoform-126-PCEMP,,PCEMP,,true,,,,
126-PEMP,24803,protoform-126-PEMP,,PEMP,,true,,,,
127-PMP,24803,protoform-127-PMP,,PMP,,true,,,,
127-PWMP,24803,protoform-127-PWMP,,PWMP,,true,,,,
127-PCEMP,24803,protoform-127-PCEMP,,PCEMP,,true,,,,
127-PEMP,24803,protoform-127-PEMP,,PEMP,,true,,,,
7226,30291,protoform-7226,1,PAN,,false,,,,
11483,32998,protoform-11483,1,PMP,,false,,,,
11483-PWMP,32998,protoform-11483-PWMP,,PWMP,,true,,,,
11483-PCEMP,32998,protoform-11483-PCEMP,,PCEMP,,true,,,,
11483-PEMP,32998,protoform-11483-PEMP,,PEMP,,true,,,,
11483-POC,32998,protoform-11483-POC,,POC,,true,,,,
129,24805,protoform-129,1,PMP,,false,,,,
129-PWMP,24805,protoform-129-PWMP,,PWMP,,true,,,,
129-PCEMP,24805,protoform-129-PCEMP,,PCEMP,,true,,,,
129-PCMP,24805,protoform-129-PCMP,,PCMP,,true,,,,
129-PEMP,24805,protoform-129-PEMP,,PEMP,,true,,,,
129-POC,24805,protoform-129-POC,,POC,,true,,,,
7793,30530,protoform-7793,1,PMP,,false,*aliten,,124,
