ID,Cognateset_ID,Form_ID,Subset,Proto_Language,Comment,Inferred,Doublet_Comment,Disjunct_Comment,Doublets,Disjuncts
383,24946,protoform-383,1,PAN,,false,,,,
383-PMP,24946,protoform-383-PMP,,PMP,,true,,,,
383-PWMP,24946,protoform-383-PWMP,,PWMP,,true,,,,
383-PCEMP,24946,protoform-383-PCEMP,,PCEMP,,true,,,,
383-PEMP,24946,protoform-383-PEMP,,PEMP,,true,,,,
383-POC,24946,protoform-383-POC,,POC,,true,,,,
387,24948,protoform-387,1,PAN,,false,,,,
387-PMP,24948,protoform-387-PMP,,PMP,,true,,,,
387-PWMP,24948,protoform-387-PWMP,,PWMP,,true,,,,
378,24941,protoform-378,1,PMP,,false,,,,
378-PWMP,24941,protoform-378-PWMP,,PWMP,,true,,,,
378-PCEMP,24941,protoform-378-PCEMP,,PCEMP,,true,,,,
378-PEMP,24941,protoform-378-PEMP,,PEMP,,true,,,,
378-POC,24941,protoform-378-POC,,POC,,true,,,,
379,24942,protoform-379,1,PMP,,false,"*maS, *may",,3572,
379-PWMP,24942,protoform-379-PWMP,,PWMP,,true,,,,
379-PCEMP,24942,protoform-379-PCEMP,,PCEMP,,true,,,,
379-PEMP,24942,protoform-379-PEMP,,PEMP,,true,,,,
379-POC,24942,protoform-379-POC,,POC,,true,,,,
384,24947,protoform-384,1,PMP,,false,,,,
385,24947,protoform-385,2,PAN,,false,,,,
386,24947,protoform-386,3,POC,,false,,,,
384-PWMP,24947,protoform-384-PWMP,,PWMP,,true,,,,
384-PCEMP,24947,protoform-384-PCEMP,,PCEMP,,true,,,,
384-PEMP,24947,protoform-384-PEMP,,PEMP,,true,,,,
384-POC,24947,protoform-384-POC,,POC,,true,,,,
385-PMP,24947,protoform-385-PMP,,PMP,,true,,,,
385-PWMP,24947,protoform-385-PWMP,,PWMP,,true,,,,
385-PCEMP,24947,protoform-385-PCEMP,,PCEMP,,true,,,,
385-PCMP,24947,protoform-385-PCMP,,PCMP,,true,,,,
385-PEMP,24947,protoform-385-PEMP,,PEMP,,true,,,,
