ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Abbr,Group,Source,Is_Proto,Description,Dialect_Of
19579,Abai Sembuak,abai1241,Abai Tubu-Abai Sembuak,,,3.524226,116.162455,,,PWMP,lobel2016,false,,
19190,Abaknon,inab1237,Inabaknon,abx,,12.4264,124.166,,,PWMP,jacobson1999,false,,
429,Aborlan Tagbanwa,tagb1258,Tagbanwa,tbw,,9.54263,118.497,,,PPH,reid1971,false,,
225,Acehnese,achi1257,Acehnese,ace,,3.90757,96.6032,,,PWMP,kreemer1931,false,,
464,Adonara,adon1237,Adonara,adr,,-8.32027,123.159,,,PCMP,lebar1972,false,,
19735,Adzera,adze1240,Adzera,adz,,-6.39394,146.294,,,POC,hooley1971,false,,
465,Agta (Central Cagayan),cent2084,Central Cagayan Agta,agt,,17.9571,121.857,,,PPH,reid1971,false,,
19194,Agta (Dupaningan),dupa1235,Dupaninan Agta,duo,,17.3748,122.188,,,PPH,robinson2011,false,,465
19181,Agta (Eastern),dupa1235,Dupaninan Agta,duo,,17.3748,122.188,,,PPH,nickellandnickell1987,false,,465
19189,Agutaynen,agut1237,Agutaynen,agn,,10.5328,119.655,,,PPH,caabayetal2014,false,,
466,Ahus,andr1248,Andra-Hus,anx,,-2.05894,147.085,,,POC,blust1975,false,,
226,Aklanon,akla1240,Aklanon,akl,,11.55432,122.35413,,,PPH,zorc1969,false,,
468,Alas,bata1292,Batak Alas-Kluet,btz,,3.4293,97.8123,,,PWMP,akbarahmaddinandmardjo1985,false,,
469,Ali,kapp1237,Kap,ykm,,-3.28761,142.659,,,POC,,false,,
471,Alune,alun1238,Alune,alp,,-3.11477,128.394,,,PCMP,niggemeyer195152,false,,
19529,Amara,amar1272,Amara,aie,,-5.55778,148.68,,,POC,thurston1987,false,,
472,Ambai,amba1265,Ambai,amk,,-1.88126,136.526,,,PSHWNG,anceaux1961,false,,
473,Amblau,ambe1248,Ambelau,amv,,-3.85919,127.196,,,PCMP,stresemann1927;vandermiesen1911,false,,
19462,Amblong,ambl1237,Amblong,alm,,-15.5169,166.95,,,POC,tryon1976,false,,
227,Amis,amis1246,Amis,ami,,23.0917,121.348,,,Form.,fey1986,false,,
19172,Amis (Central),cent2104,Central Amis,,,23.0917,121.348,,,Form.,blust2002,false,,227
19260,Amis (Kiwit),amis1246,Amis,ami,,23.0917,121.348,,,Form.,ogawa1933;ferrell1979,false,,227
19547,Amis (Utrecht ms.),amis1246,Amis,ami,,23.0917,121.348,,,Form.,,false,,227
475,Ampana,pamo1252,Pamona,pmf,,-1.62663,121.268,,,PWMP,adriani1928,false,,
19273,Ampibabo-Lauje,lauj1238,Lauje,law,,0.50708,120.262,,,PWMP,himmelmann2001,false,,
19483,Anakalangu,anak1240,Anakalang,akg,,-9.63425,119.605,,,PCMP,foxnd,false,,
19696,Andra,andr1248,Andra-Hus,anx,,-2.05894,147.085,,,POC,,false,,
19378,Anejom,anei1239,Aneityum,aty,,-20.1864,169.825,,,POC,lynch2001a,false,,
477,Angkola-Mandailing Batak,bata1290,Batak Angkola,akb,,1.66127,99.60248,,,PWMP,siregar1977;warren1959,false,,
478,Ansus,ansu1237,Ansus,and,,-1.7543,135.866,,,PSHWNG,anceaux1961,false,,
229,Anuta,anut1237,Anuta,aud,,-11.61,169.85,,,POC,feinberg1977,false,,
480,Aore,aore1237,Aore,aor,,-15.5753,167.166,,,POC,tryon1976,false,,
19230,Apma,apma1240,Apma,app,,-15.8559,168.189,,,POC,tryon1976,false,,
481,Araki,arak1252,Araki,akr,,-15.632997,166.952542,,,POC,francois2002,false,,
18004,'Āre'āre,area1240,'Are'are,alu,,-9.20699,161.158,,,POC,geerts1970,false,,
483,Arguni,argu1237,Arguni,agf,,-2.645798,132.5556,,,PSHWNG,gracend,false,,
19491,Arop,arop1244,Arop,,,-5.31671,147.103,,,POC,,false,,
485,Arosi,aros1241,Arosi,aia,,-10.2441,161.432,,,POC,fox1970,false,,
486,Arosi (Eastern),aros1241,Arosi,aia,,-10.2441,161.432,,,POC,,false,,485
487,Arosi (Southern),aros1241,Arosi,aia,,-10.2441,161.432,,,POC,,false,,485
488,Arosi (Western),aros1241,Arosi,aia,,-10.2441,161.432,,,POC,,false,,485
489,Arta,arta1239,Arta,atz,,16.4185,121.656,,,PPH,,false,,
490,As,asss1237,As,asz,,-0.75267,131.728,,,PSHWNG,gracend,false,,
18016,Asilulu,asil1242,Asilulu,asl,,-3.67302,127.952,,,PCMP,collinsnd,false,,
493,Atayal,atay1247,Atayal,tay,,24.5209,121.388,,,Form.,egerod1980,false,,
494,Atayal (Cʔuliʔ),atay1247,Atayal,tay,,24.5209,121.388,,,Form.,,false,,493
496,Atayal (Mayrinax),mayr1237,Matu'uwal,,,24.5209,121.388,,,Form.,,false,,493
19596,Atayal (Palŋawan),atay1247,Atayal,tay,,24.5209,121.388,,,Form.,,false,,493
497,Atayal (Squliq),sqol1237,Squliq,,,24.5209,121.388,,,Form.,,false,,493
498,Atchin,urip1239,Uripiv-Wala-Rano-Atchin,upv,,-16.00951,167.34643,,,POC,tryon1976,false,,
231,Atoni,uabm1237,Uab Meto,aoz,,-9.77284,124.144,,,PCMP,blust1975b,false,,
19637,Atta (Pamplona),pamp1244,Pamplona Atta,att,,18.4738,121.3,,,PPH,reid1971,false,,
234,Aua,wuvu1239,Wuvulu-Aua,wuv,,-1.73938,142.851,,,POC,blust1975,false,,
